molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL500138,C/C=C/[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL2368599,OC[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](OCCCCCCO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)O[C@H]2CO)[C@@H](O)[C@H](O)[C@@H]1O,IC50,163000.0,nM,,,CHEMBL1005624,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL6067641,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,IC50,50000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL5314358,,IC50,800000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL497324,OC[C@@H]1O[C@H](n2cc(CS[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)nn2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL505985,OC[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](n3cc(CS[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)nn3)O[C@H]2CO)[C@@H](O)[C@H](O)[C@@H]1O,IC50,600000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL502536,OC[C@@H]1O[C@H](n2cc(CS[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)nn2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,300000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL508204,OC[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](n3cc(CS[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)nn3)O[C@H]2CO)[C@@H](O)[C@H](O)[C@@H]1O,IC50,160000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL522064,OC[C@@H]1O[C@H](SCC#CC#CCS[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL449603,OC[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](SCC#CC#CCS[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)O[C@H]2CO)[C@@H](O)[C@H](O)[C@@H]1O,IC50,160000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL500405,OC[C@@H]1O[C@H](SCC#Cc2ccc(C#CCS[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)cc2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL444523,CC(=O)O[C@@H]1[C@@H](O)[C@H](SCC#Cc2ccc(C#CCS[C@H]3O[C@@H](CO)[C@H](O[C@H]4O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@@H]3O)cc2)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,300000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL443369,C#CCS[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL502537,C#CCS[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,IC50,300000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL499869,COC(=O)Nc1nc(C)c(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)s1,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL527113,CC(=O)Nc1nc(C)c(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)s1,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL502806,Cc1nc(NC(=O)Cc2ccccc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL502805,Cc1nc(NC(=O)c2ccc(Br)cc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL500125,COc1ccc(C(=O)Nc2nc(C)c(C[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)s2)cc1,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL500124,Cc1nc(NC(=O)c2ccc([N+](=O)[O-])cc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL499073,Cc1nc(NC(=O)c2ccccc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL499072,Cc1nc(NCc2ccc([N+](=O)[O-])cc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL525202,Cc1nc(NCc2ccccc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL499071,Cc1nc(NS(=O)(=O)c2cc(Br)ccc2Br)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL500420,Cc1nc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL502549,Cc1nc(NS(=O)(=O)c2ccccc2Cl)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL502548,Cc1nc(NS(=O)(=O)c2ccc3ccccc3c2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,2500000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL524363,Cc1nc(NS(=O)(=O)c2ccc(Br)cc2)sc1C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL502547,Cc1ccc(S(=O)(=O)Nc2nc(C)c(C[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)s2)cc1,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL524323,C=C(C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)c1cccc([N+](=O)[O-])c1,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL501197,C=C(C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)c1ccc(OC)cc1,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL453187,CC(=O)C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL501196,OC[C@H]1O[C@@H](C/C=C/c2cccc(/C=C/C[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)c2)[C@H](O)[C@@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL507820,COC(=O)/C=C(\C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)c1ccccc1,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL446968,COC(=O)/C=C/C[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
CHEMBL445870,OC[C@H]1O[C@@H](C/C=C/c2ccccc2)[C@H](O)[C@@H](O)[C@H]1O,IC50,5000000.0,nM,,,CHEMBL1008161,8,CHEMBL4531,CHEMBL1156608,8pbf,P17931
