molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL609096,O=C(CCN1CCN2CCCCC2C1)N1c2ccccc2Sc2ccc(Cl)cc21,IC50,31900.0,nM,4.5,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL609110,O=C(CN1CCN(c2ccccc2)CC1)Nc1ccccc1Sc1ccccc1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL612060,NC(=O)C1(N2CCCCC2)CCN(CC(=O)Nc2ccccc2Sc2ccccc2)CC1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL612061,O=C(CN1CCCCCC1)N1c2ccccc2Sc2ccc(Cl)cc21,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL608849,CCN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,IC50,36000.0,nM,4.44,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL73451,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,IC50,54300.0,nM,4.26,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL2029013,CC12CN3CC(C)(C1)C[N+](Cc1cccc(Br)c1)(C3)C2,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL608846,CN(CC(=O)Nc1ccccc1Sc1ccccc1)C1CCCCC1,IC50,46900.0,nM,4.33,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL474006,O=C(CN1C(=O)C2CC=CCC2C1=O)Nc1ccccc1Sc1ccc(Cl)cc1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL516210,O=C(CN1C(=O)NC2(CCCCCC2)C1=O)Nc1ccccc1Sc1ccccc1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL1162311,NCCCCC(N)C(=O)Nc1ccc2ccccc2c1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL474017,Cc1ccc(N2CC(C(=O)Nc3ccccc3Sc3ccccc3)CC2=O)cc1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL522652,CC1CCCCC12NC(=O)N(CC(=O)Nc1ccccc1Sc1ccccc1)C2=O,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL524325,CC(NS(=O)(=O)c1ccccc1)C(=O)Nc1ccccc1Sc1ccccc1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL612055,CN1CCCC(CC2Oc3ccccc3Sc3ccccc32)C1,IC50,14600.0,nM,4.84,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL612047,CN(C)CCCC1Sc2ccccc2Sc2ccccc21,IC50,37300.0,nM,4.43,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL492346,C[N+]1(C)CCCC2c3ccccc3Sc3ccc(Cl)cc3C21,IC50,58700.0,nM,4.23,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL492957,C[N+]1(Cc2ccccc2)CCC(/N=C/C2C(=O)NC(=O)N(C3CCCCC3)C2=O)CC1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
CHEMBL611773,CN1CCN(C2=NC(=O)CC(C(=O)Nc3cccc(Cl)c3)N2)CC1,IC50,100000.0,nM,,,CHEMBL1011824,8,CHEMBL5154,CHEMBL1153395,8pf4,Q389T8
