molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4469438,CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccccc32)nc2cc(CN)ccc21,IC50,0.4,nM,9.4,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4862291,CC(C)CCn1c(CN2C(=O)C3(CC3)c3c(Cl)cccc32)nc2cc(CN)ccc21,IC50,11.1,nM,7.96,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4872095,CC(C)CCn1c(CN2C(=O)C3(CC3)c3cc(F)ccc32)nc2cc(CN)ccc21,IC50,0.7,nM,9.15,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4872263,CC(C)CCn1c(CN2C(=O)C3(CC3)c3cc(Cl)ccc32)nc2cc(CN)ccc21,IC50,4.5,nM,8.35,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4878302,CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccc(F)cc32)nc2cc(CN)ccc21,IC50,0.5,nM,9.3,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4865906,CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccc(Cl)cc32)nc2cc(CN)ccc21,IC50,1.2,nM,8.92,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4878086,CC(C)CCn1c(CN2C(=O)C3(CC3)c3cccc(Cl)c32)nc2cc(CN)ccc21,IC50,46.7,nM,7.33,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4860271,CC(C)CCn1c(CN2C(=O)C3(CC3)c3cccc(F)c32)nc2cc(CN)ccc21,IC50,1.3,nM,8.89,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4863172,CS(=O)(=O)CCCn1c(CN2C(=O)C3(CC3)c3ccc(F)cc32)nc2cc(CN)ccc21,IC50,2.6,nM,8.59,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4853602,NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCCO,IC50,1.5,nM,8.82,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4297497,NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,0.9,nM,9.05,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4867108,NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3cccc(F)c31)n2CCCC(F)(F)F,IC50,1.0,nM,9.0,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4873528,NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2C1CCC(O)CC1,IC50,2.6,nM,8.59,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4874709,NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2C1CCOCC1,IC50,1.2,nM,8.92,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4850153,N#Cc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,,,,Not Determined,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4855358,N=C(N)c1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,3.0,nM,8.52,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4869353,CCNC(=N)c1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,640.5,nM,6.19,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4866951,N=C(N)NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,183.0,nM,6.74,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4847062,NC(=O)c1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,71.0,nM,7.15,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4878851,O=C(O)c1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,25000.0,nM,,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4873987,CS(=O)(=O)c1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,1069.5,nM,5.97,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4871056,CC(=O)NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,IC50,364.5,nM,6.44,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4859694,O=C1N(Cc2nc3ccccc3n2CCCC(F)(F)F)c2cc(F)ccc2C12CC2,IC50,37.2,nM,7.43,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4876843,O=C1N(Cc2nc3cc(Cl)ccc3n2CCCC(F)(F)F)c2cc(F)ccc2C12CC2,IC50,6.2,nM,8.21,,CHEMBL4825906,9,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4871101,CC(C)CCn1c(CN2C(=O)C3(CC3)c3cccnc32)nc2cc(CN)ccc21,IC50,0.9,nM,9.05,,CHEMBL4825974,8,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4858040,CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccncc32)nc2cc(CN)ccc21,IC50,0.9,nM,9.05,,CHEMBL4825974,8,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4858949,CC(=O)N1CC2(C1)C(=O)N(Cc1nc3cc(CN)ccc3n1CCC(C)C)c1ccccc12,IC50,1.1,nM,8.96,,CHEMBL4825974,8,CHEMBL3856166,CHEMBL4825662,8phi,P03420
CHEMBL4876200,CC(C)CCn1c(CN2C(=O)C3(CCOCC3)c3ccccc32)nc2cc(CN)ccc21,IC50,0.69,nM,9.16,,CHEMBL4825974,8,CHEMBL3856166,CHEMBL4825662,8phi,P03420
