molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL576624,N#Cc1c(-c2csc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],IC50,350.0,nM,6.46,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL569420,N#Cc1c(-c2ccc(-c3no[n+]([O-])c3C#N)s2)no[n+]1[O-],IC50,400.0,nM,6.4,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL570121,N#Cc1c(-c2cc(F)cc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],IC50,480.0,nM,6.32,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL582970,N#Cc1c(-c2ccc(-c3no[n+]([O-])c3C#N)cc2)no[n+]1[O-],IC50,1000.0,nM,6.0,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL575013,N#Cc1c(-c2cccc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],IC50,3500.0,nM,5.46,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL576265,N#Cc1c(C(=O)c2cccs2)no[n+]1[O-],IC50,63.0,nM,7.2,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL583780,N#Cc1c(-c2cccs2)no[n+]1[O-],IC50,3500.0,nM,5.46,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL565242,N#Cc1c(-c2ccco2)no[n+]1[O-],IC50,2800.0,nM,5.55,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL570132,N#Cc1c(-c2ccc(O)cc2)no[n+]1[O-],IC50,17900.0,nM,4.75,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL576082,N#Cc1c(-c2ccc(-c3ccccc3)cc2)no[n+]1[O-],IC50,15800.0,nM,4.8,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL574801,Cc1ccc(-c2no[n+]([O-])c2C#N)cc1,IC50,11200.0,nM,4.95,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL578810,COc1ccc(-c2no[n+]([O-])c2C#N)cc1,IC50,10000.0,nM,5.0,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL569188,COc1cccc(-c2no[n+]([O-])c2C#N)c1,IC50,8900.0,nM,5.05,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL568961,COc1cc(-c2no[n+]([O-])c2C#N)cc(OC)c1OC,IC50,8900.0,nM,5.05,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL583779,COc1ccccc1-c1no[n+]([O-])c1C#N,IC50,7900.0,nM,5.1,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL576118,N#Cc1c(-c2ccc(F)cc2)no[n+]1[O-],IC50,7900.0,nM,5.1,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL571936,N#Cc1c(-c2cccc(O)c2)no[n+]1[O-],IC50,7100.0,nM,5.15,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL571712,N#Cc1c(-c2ccc(C(F)(F)F)cc2)no[n+]1[O-],IC50,7100.0,nM,5.15,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL567408,N#Cc1c(-c2ccc(Cl)cc2)no[n+]1[O-],IC50,4000.0,nM,5.4,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL585368,N#Cc1c(-c2ccc(Br)cc2)no[n+]1[O-],IC50,3500.0,nM,5.46,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL570130,N#Cc1c(-c2cccc(Cl)c2)no[n+]1[O-],IC50,3500.0,nM,5.46,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL574579,N#Cc1c(-c2cccc(Br)c2)no[n+]1[O-],IC50,2800.0,nM,5.55,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL585190,N#Cc1c(-c2ccc(F)c(Br)c2)no[n+]1[O-],IC50,2800.0,nM,5.55,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL571710,N#Cc1c(-c2cccc(C(F)(F)F)c2)no[n+]1[O-],IC50,2500.0,nM,5.6,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL570346,N#Cc1c(-c2cccc([N+](=O)[O-])c2)no[n+]1[O-],IC50,2200.0,nM,5.66,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL570345,O=C(c1cccs1)c1no[n+]([O-])c1C(=O)c1cccs1,IC50,40.0,nM,7.4,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL500868,NC(=O)c1c(-c2ccccc2)no[n+]1[O-],IC50,17800.0,nM,4.75,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL574577,O=C(O)c1c(-c2ccccc2)no[n+]1[O-],IC50,630.0,nM,6.2,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL567637,O=Cc1c(-c2ccccc2)no[n+]1[O-],IC50,110.0,nM,6.96,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL567641,[O-][n+]1onc(-c2ccccc2)c1CO,IC50,11200.0,nM,4.95,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL574360,Cc1c(-c2ccccc2)no[n+]1[O-],IC50,50000.0,nM,4.3,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL336467,N#Cc1c(-c2ccccc2)no[n+]1[O-],IC50,6300.0,nM,5.2,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL336467,N#Cc1c(-c2ccccc2)no[n+]1[O-],IC50,6300.0,nM,5.2,,CHEMBL1048278,9,CHEMBL6110,CHEMBL1155233,8pl4,Q962Y6
CHEMBL3322357,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccc(OCCCOc4nonc4S(=O)(=O)c4ccccc4)cc3C2C1,IC50,50000.0,nM,,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322356,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccc(OCCCOc4no[n+]([O-])c4S(=O)(=O)c4ccccc4)cc3C2C1,IC50,8500.0,nM,5.07,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322355,N#Cc1nonc1COc1ccc2c(c1)C1CN(C(=O)C3CCCCC3)CC(=O)N1CC2,IC50,50000.0,nM,,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322294,NC(=O)c1nonc1COc1ccc2c(c1)C1CN(C(=O)C3CCCCC3)CC(=O)N1CC2,IC50,50000.0,nM,,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322293,N#Cc1c(COc2ccc3c(c2)C2CN(C(=O)C4CCCCC4)CC(=O)N2CC3)no[n+]1[O-],IC50,350.0,nM,6.46,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322292,NC(=O)c1c(COc2ccc3c(c2)C2CN(C(=O)C4CCCCC4)CC(=O)N2CC3)no[n+]1[O-],IC50,83.0,nM,7.08,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322291,N#Cc1nonc1C(=O)N1CC(=O)N2CCc3ccccc3C2C1,IC50,50000.0,nM,,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322290,NC(=O)c1nonc1C(=O)N1CC(=O)N2CCc3ccccc3C2C1,IC50,50000.0,nM,,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322289,COC(=O)c1nonc1C(=O)N1CC(=O)N2CCc3ccccc3C2C1,IC50,50000.0,nM,,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322288,N#Cc1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],IC50,316.0,nM,6.5,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322287,NC(=O)c1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],IC50,10.0,nM,8.0,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL3322286,COC(=O)c1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],IC50,148.0,nM,6.83,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL336467,N#Cc1c(-c2ccccc2)no[n+]1[O-],IC50,5000.0,nM,5.3,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL336467,N#Cc1c(-c2ccccc2)no[n+]1[O-],IC50,5000.0,nM,5.3,,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL976,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,IC50,,,,Not Active,CHEMBL3365309,9,CHEMBL6110,CHEMBL3351727,8pl4,Q962Y6
CHEMBL1455957,CCc1nc2c([nH]1)c1no[n+]([O-])c1c1no[n+]([O-])c21,IC50,15800.0,nM,4.8,,CHEMBL4427075,9,CHEMBL6110,CHEMBL4425145,8pl4,Q962Y6
CHEMBL1325877,COc1ccc(C(=O)c2no[n+]([O-])c2C(=O)c2ccc(OC)cc2)cc1,IC50,100.0,nM,7.0,,CHEMBL4427075,9,CHEMBL6110,CHEMBL4425145,8pl4,Q962Y6
CHEMBL1449349,O=C(CSc1ccccn1)Nc1nonc1[N+](=O)[O-],IC50,7080.0,nM,5.15,,CHEMBL4427075,9,CHEMBL6110,CHEMBL4425145,8pl4,Q962Y6
CHEMBL4871407,CCNc1sc(Br)c([N+](=O)[O-])c1[N+](=O)[O-],IC50,3150.0,nM,5.5,,CHEMBL4811507,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL4852477,COC(=O)CS(=O)(=O)c1nnc(C(Cc2ccccc2)NC(=O)OC(C)(C)C)o1,IC50,330.0,nM,6.48,,CHEMBL4811511,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL1428415,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,IC50,210.0,nM,6.68,,CHEMBL4811511,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL4858362,O=c1c(Cl)c(-n2cc(CO)nn2)cnn1-c1ccccc1,IC50,2840.0,nM,5.55,,CHEMBL4811511,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL1337170,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)C=C2,IC50,2010.0,nM,5.7,,CHEMBL4811511,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL1439384,COc1ccc([N+](=O)[O-])c(S(=O)(=O)c2ccc(Cl)cc2)n1,IC50,60.0,nM,7.22,,CHEMBL4811511,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL4846043,CCOC(=O)C(C(=O)OCC)C1=C(Br)C2=NOC3c4ccccc4C(=O)C(=C1)C23,IC50,140.0,nM,6.85,,CHEMBL4811511,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL1486739,COc1ccc(C(Nc2cc(C)ccn2)c2ccc3ccc(C)nc3c2O)cc1,IC50,130.0,nM,6.89,,CHEMBL4811511,9,CHEMBL6110,CHEMBL4811216,8pl4,Q962Y6
CHEMBL5618241,C#CCN(Cc1nc(-c2ccccc2)oc1C)C1C[C@@H]2C[C@H]([C@H]1C)C2(C)C,IC50,2500.0,nM,5.6,,CHEMBL5617298,9,CHEMBL6110,CHEMBL5614433,8pl4,Q962Y6
CHEMBL5619580,C[C@@H]1[C@H]2C[C@@H](C[C@H]1NCc1cn([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c3ccccc13)C2(C)C,IC50,57500.0,nM,4.24,,CHEMBL5617298,9,CHEMBL6110,CHEMBL5614433,8pl4,Q962Y6
