molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL99743,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC,IC50,890.0,nM,6.05,,CHEMBL764074,9,CHEMBL2007,CHEMBL1135502,8pqh,P16234
CHEMBL104067,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC,IC50,90.0,nM,7.05,,CHEMBL764074,9,CHEMBL2007,CHEMBL1135502,8pqh,P16234
CHEMBL102346,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,IC50,50.0,nM,7.3,,CHEMBL764074,9,CHEMBL2007,CHEMBL1135502,8pqh,P16234
CHEMBL323336,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Br)cc4)CC3)c2cc1OC,IC50,710.0,nM,6.15,,CHEMBL764074,9,CHEMBL2007,CHEMBL1135502,8pqh,P16234
CHEMBL106966,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,IC50,770.0,nM,6.11,,CHEMBL764074,9,CHEMBL2007,CHEMBL1135502,8pqh,P16234
CHEMBL7572,CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,IC50,100.0,nM,7.0,,CHEMBL764073,8,CHEMBL2007,CHEMBL1135728,8pqh,P16234
CHEMBL7432,CN(C)CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,IC50,100.0,nM,7.0,,CHEMBL764073,8,CHEMBL2007,CHEMBL1135728,8pqh,P16234
CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,IC50,210.0,nM,6.68,,CHEMBL646338,8,CHEMBL2007,CHEMBL1136005,8pqh,P16234
CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,IC50,210.0,nM,6.68,,CHEMBL646338,8,CHEMBL2007,CHEMBL1136005,8pqh,P16234
CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,IC50,210.0,nM,6.68,,CHEMBL646338,8,CHEMBL2007,CHEMBL1136005,8pqh,P16234
CHEMBL319894,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4)CC3)c2cc1OC,IC50,240.0,nM,6.62,,CHEMBL646339,8,CHEMBL2007,CHEMBL1136005,8pqh,P16234
CHEMBL7735,O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1,IC50,1000.0,nM,6.0,,CHEMBL764073,8,CHEMBL2007,CHEMBL1135728,8pqh,P16234
CHEMBL7600,COCC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,IC50,300.0,nM,6.52,,CHEMBL764073,8,CHEMBL2007,CHEMBL1135728,8pqh,P16234
CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,IC50,299.0,nM,6.52,,CHEMBL764646,8,CHEMBL2007,CHEMBL1136216,8pqh,P16234
CHEMBL179593,COc1ccc(NC(=O)Nc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cc2)cc1,IC50,2.0,nM,8.7,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179603,COc1ccc(NC(=O)Nc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)cc1,IC50,3.6,nM,8.44,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL362486,COc1ccc(NC(=O)Nc2ccc(Sc3ccnc4cc(OC)c(OC)cc34)cc2)cc1,IC50,14.0,nM,7.85,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179753,COc1ccc(NC(=O)Nc2ccc(Nc3ccnc4cc(OC)c(OC)cc34)cc2)cc1,IC50,21.0,nM,7.68,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL180331,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c2cc1OC,IC50,5.8,nM,8.24,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL178276,COc1cc2nccc(Oc3ccc(N/C(S)=N/c4ccc(F)cc4)cc3)c2cc1OC,IC50,52.0,nM,7.28,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179450,COc1cc2nccc(Oc3ccc(NC(NC#N)Nc4ccc(F)cc4)cc3)c2cc1OC,IC50,490.0,nM,6.31,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL368252,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c2cc1OC,IC50,3.6,nM,8.44,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL426047,COc1ccccc1NC(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cc1,IC50,5.8,nM,8.24,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL178156,COc1cccc(NC(=O)Nc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cc2)c1,IC50,2.0,nM,8.7,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179061,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4C)cc3)c2cc1OC,IC50,3.6,nM,8.44,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL369760,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(C)c4)cc3)c2cc1OC,IC50,3.3,nM,8.48,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL362634,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(C)cc4)cc3)c2cc1OC,IC50,36.0,nM,7.44,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL360781,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4[N+](=O)[O-])cc3)c2cc1OC,IC50,6.8,nM,8.17,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179360,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc([N+](=O)[O-])c4)cc3)c2cc1OC,IC50,18.0,nM,7.75,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL178568,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)c2cc1OC,IC50,17.0,nM,7.77,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179227,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4F)cc3)c2cc1OC,IC50,3.9,nM,8.41,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL426602,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c2cc1OC,IC50,6.4,nM,8.19,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL362188,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c2cc1OC,IC50,24.0,nM,7.62,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179165,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c2cc1OC,IC50,10.0,nM,8.0,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179698,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(F)c4F)cc3)c2cc1OC,IC50,1.6,nM,8.8,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL360526,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)cc3)c2cc1OC,IC50,3.4,nM,8.47,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179522,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(F)ccc4F)cc3)c2cc1OC,IC50,4.7,nM,8.33,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179307,COc1cc2nccc(Oc3ccc(NC(=O)Nc4c(F)cccc4F)cc3)c2cc1OC,IC50,3.5,nM,8.46,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
CHEMBL179719,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)c(F)c4)cc3)c2cc1OC,IC50,6.8,nM,8.17,,CHEMBL832771,8,CHEMBL2007,CHEMBL1142694,8pqh,P16234
