molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4854665,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4854665,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4854665,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4854665,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4850503,CCNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(C5CCCC5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4850503,CCNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(C5CCCC5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4850503,CCNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(C5CCCC5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4850503,CCNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(C5CCCC5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4872977,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccc(C)o5)c5c(N)ncnc54)[C@@H](F)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4872977,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccc(C)o5)c5c(N)ncnc54)[C@@H](F)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4872977,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccc(C)o5)c5c(N)ncnc54)[C@@H](F)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4872977,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccc(C)o5)c5c(N)ncnc54)[C@@H](F)[C@@H]3O)cc2n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4856985,Cc1coc(-c2cn([C@@H]3O[C@H](COc4ccc5ccc(N6CCC6)nc5c4)[C@@H](O)[C@@H]3F)c3ncnc(N)c23)n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4856985,Cc1coc(-c2cn([C@@H]3O[C@H](COc4ccc5ccc(N6CCC6)nc5c4)[C@@H](O)[C@@H]3F)c3ncnc(N)c23)n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4856985,Cc1coc(-c2cn([C@@H]3O[C@H](COc4ccc5ccc(N6CCC6)nc5c4)[C@@H](O)[C@@H]3F)c3ncnc(N)c23)n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4856985,Cc1coc(-c2cn([C@@H]3O[C@H](COc4ccc5ccc(N6CCC6)nc5c4)[C@@H](O)[C@@H]3F)c3ncnc(N)c23)n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4856985,Cc1coc(-c2cn([C@@H]3O[C@H](COc4ccc5ccc(N6CCC6)nc5c4)[C@@H](O)[C@@H]3F)c3ncnc(N)c23)n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4856985,Cc1coc(-c2cn([C@@H]3O[C@H](COc4ccc5ccc(N6CCC6)nc5c4)[C@@H](O)[C@@H]3F)c3ncnc(N)c23)n1,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q9HCE5
CHEMBL4861007,Nc1ncnc2c1c(-n1cccn1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4861007,Nc1ncnc2c1c(-n1cccn1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4861007,Nc1ncnc2c1c(-n1cccn1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4861007,Nc1ncnc2c1c(-n1cccn1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4861007,Nc1ncnc2c1c(-n1cccn1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4861007,Nc1ncnc2c1c(-n1cccn1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q9HCE5
CHEMBL4852677,Nc1ncnc2c1c([C@@H]1CCCO1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4852677,Nc1ncnc2c1c([C@@H]1CCCO1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4852677,Nc1ncnc2c1c([C@@H]1CCCO1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4852677,Nc1ncnc2c1c([C@@H]1CCCO1)cn2[C@@H]1O[C@H](COc2ccc3ccc(N4CCC4)nc3c2)[C@@H](O)[C@@H]1F,IC50,10.0,nM,,,CHEMBL4827621,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4854665,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,1000.0,nM,,,CHEMBL4827622,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4854665,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,1000.0,nM,,,CHEMBL4827622,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
CHEMBL4854665,CNc1ccc2ccc(OC[C@H]3O[C@@H](n4cc(-c5ccn(C)n5)c5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2n1,IC50,1000.0,nM,,,CHEMBL4827622,9,CHEMBL4739695,CHEMBL4825715,8pw9,Q86U44
