molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,IC50,20000.0,nM,,,CHEMBL698354,8,CHEMBL1957,CHEMBL1135889,8pyl,P08069
CHEMBL533849,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,IC50,20000.0,nM,,,CHEMBL698355,8,CHEMBL1957,CHEMBL1135889,8pyl,P08069
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,25000.0,nM,,,CHEMBL814329,9,CHEMBL1957,CHEMBL1149325,8pyl,P08069
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,25000.0,nM,,,CHEMBL814329,9,CHEMBL1957,CHEMBL1149325,8pyl,P08069
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,25000.0,nM,,,CHEMBL814329,9,CHEMBL1957,CHEMBL1149325,8pyl,P08069
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,25000.0,nM,,,CHEMBL814329,9,CHEMBL1957,CHEMBL1149325,8pyl,P08069
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,25000.0,nM,,,CHEMBL814329,9,CHEMBL1957,CHEMBL1149325,8pyl,P08069
CHEMBL352308,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO,IC50,10000.0,nM,,,CHEMBL700885,9,CHEMBL1957,CHEMBL1146677,8pyl,P08069
CHEMBL327725,CC(O)C(/N=C1/C=C(O)/C(=N\C(C(=O)O)C(C)O)C=C1O)C(=O)O,IC50,6000.0,nM,5.22,,CHEMBL697504,8,CHEMBL1957,CHEMBL1145828,8pyl,P08069
CHEMBL442388,CC(O)C(/N=C1\C(O)=CC(=O)C(O)=C1CC1CCCC2CCCCC21)C(=O)O,IC50,500.0,nM,6.3,,CHEMBL697504,8,CHEMBL1957,CHEMBL1145828,8pyl,P08069
