molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2333365,Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F,IC50,10000.0,nM,,,CHEMBL2345760,9,CHEMBL1649059,CHEMBL2331117,8q1z,Q86Y07
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,IC50,10000.0,nM,,,CHEMBL3749902,9,CHEMBL1649059,CHEMBL3745707,8q1z,Q86Y07
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,,,,Not Determined,CHEMBL4328651,9,CHEMBL1649059,CHEMBL4325871,8q1z,Q86Y07
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,,,,Not Determined,CHEMBL4328651,9,CHEMBL1649059,CHEMBL4325871,8q1z,Q86Y07
CHEMBL6291,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,IC50,16400.0,nM,4.79,,CHEMBL4328651,9,CHEMBL1649059,CHEMBL4325871,8q1z,Q86Y07
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,IC50,10000.0,nM,,,CHEMBL4379485,9,CHEMBL1649059,CHEMBL4376834,8q1z,Q86Y07
CHEMBL4088216,CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4884893,9,CHEMBL1649059,CHEMBL4507327,8q1z,Q86Y07
CHEMBL4549667,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4885184,9,CHEMBL1649059,CHEMBL4507326,8q1z,Q86Y07
CHEMBL4097778,CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4885468,9,CHEMBL1649059,CHEMBL4507327,8q1z,Q86Y07
CHEMBL5557062,Cc1cc(CN2C(=O)[C@H](C)N(C)c3nc(Nc4cc(F)c(O)c(F)c4)ncc32)on1,IC50,3500.0,nM,,,CHEMBL5516701,9,CHEMBL1649059,CHEMBL5512678,8q1z,Q86Y07
CHEMBL3414623,Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,IC50,20000.0,nM,,,CHEMBL5675394,9,CHEMBL1649059,CHEMBL5674866,8q1z,Q86Y07
CHEMBL3604889,CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)[C@H]1C,Ki,17.8,nM,7.75,,CHEMBL5516698,9,CHEMBL1649059,CHEMBL5512678,8q1z,Q86Y07
