molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL383144,CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,504000.0,nM,3.3,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5179548,CNc1ncnc2c1ncn2C,IC50,306000.0,nM,3.51,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5179548,CNc1ncnc2c1ncn2C,IC50,306000.0,nM,3.51,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5170722,CNc1ncnc2c1ncn2C1CC1,IC50,294000.0,nM,3.53,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5205586,CNc1ncnc2c(-c3ccccc3)[nH]nc12,IC50,142000.0,nM,3.85,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5192478,O=c1cc(C2CC2)[nH]c(=O)[nH]1,IC50,1000000.0,nM,,,CHEMBL5149947,9,CHEMBL5169187,CHEMBL5143763,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5511701,9,CHEMBL5169187,CHEMBL5506060,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5511701,9,CHEMBL5169187,CHEMBL5506060,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5511701,9,CHEMBL5169187,CHEMBL5506060,8q32,Q96MU7
CHEMBL5177286,CNc1ncnc2c(C)[nH]nc12,IC50,39000.0,nM,4.41,,CHEMBL5511701,9,CHEMBL5169187,CHEMBL5506060,8q32,Q96MU7
