molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4574025,COc1ccc(-c2c(Nc3cccnn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4568226,COc1ccc(-c2c(Nc3ccccn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4568226,COc1ccc(-c2c(Nc3ccccn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4554590,COc1ccc(-c2c(Nc3cccnc3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4591902,COc1ccc(-c2c(Nc3ccc(C#N)cn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4525830,COc1ccc(-c2c(Nc3ccc(F)cn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4514771,COc1ccc(-c2c(Nc3ccc(Cl)cn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4529220,COc1ccc(-c2c(Nc3ccc([N+](=O)[O-])cn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4585324,COc1ccc(-c2c(Nc3ccc(O)cn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4533028,COc1ccc(-c2c(Nc3cc(O)ccn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4570648,COc1ccc(-c2c(Nc3cccc(F)n3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4525176,COc1ccc(-c2c(Nc3cccc(C#N)n3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4558773,COc1ccc(-c2c(Nc3cccc(C(N)=O)n3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4543071,COc1ccc(-c2c(Nc3ncccc3O)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4544817,COc1ccc(-c2c(Nc3cc(C#N)ccn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4592310,COc1ccc(-c2c(Nc3ncc(C#N)cn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4559387,COc1ccc(-c2c(Nc3ccncn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4536602,COc1ccc(-c2c(Nc3cc(N)ncn3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4569310,COc1ccc(-c2c(Nc3ccnc(OC)n3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
CHEMBL4560260,COc1ccc(-c2c(Nc3ccnc(O)n3)[nH]c3c(-c4ccccc4)c(-c4ccccc4)nn3c2=O)cc1,IC50,100.0,nM,,,CHEMBL4476981,9,CHEMBL3313835,CHEMBL4476872,8qdz,P31153
