molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL231568,CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1,IC50,40000.0,nM,,,CHEMBL895919,9,CHEMBL5785,CHEMBL1148766,8qel,P19525
CHEMBL585927,CNc1ccn(-c2ccccc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cn1,IC50,1000.0,nM,,,CHEMBL1038365,8,CHEMBL5785,CHEMBL1155349,8qel,P19525
CHEMBL1802786,COc1ccc2[nH]cc(-c3ccnc(NCCN4CCOCC4)n3)c2c1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802785,Fc1ccc(N2CCN(c3nccc(-c4c[nH]c5ccccc45)n3)CC2)cc1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802784,c1ccc(-c2[nH]c3ccccc3c2-c2ccnc(NCc3cccnc3)n2)cc1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802783,COCCCNc1nccc(-c2c(C)[nH]c3ccc(Cl)cc23)n1,IC50,3000.0,nM,5.52,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802782,Cc1[nH]c2ccc(Cl)cc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,IC50,100.0,nM,7.0,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802781,c1ccc2c(CCNc3nccc(-c4c[nH]nc4-c4ccncc4)n3)c[nH]c2c1,IC50,51000.0,nM,4.29,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802780,COc1ccc2[nH]c(C)c(-c3ccnc(Nc4ccc(Cl)cc4)n3)c2c1,IC50,50000.0,nM,4.3,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802778,Cc1[nH]c2ccccc2c1-c1ccnc(Nc2ccc(F)cc2)n1,IC50,150.0,nM,6.82,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802779,Fc1ccc(Nc2nccc(-c3c(-c4ccccc4)[nH]c4ccccc34)n2)cc1,IC50,7000.0,nM,5.16,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802777,Cc1[nH]c2ccc(Cl)cc2c1-c1ccnc(N2CCCC2)n1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802775,COc1ccc(Nc2nccc(-c3c(C)[nH]c4ccc(OC)cc34)n2)cc1,IC50,55000.0,nM,4.26,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802776,c1ccc(-c2[nH]c3ccccc3c2-c2ccnc(NC3CCCC3)n2)cc1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802774,Cc1[nH]c2ccc(Cl)cc2c1-c1ccnc(NC2CCCC2)n1,IC50,8000.0,nM,5.1,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802772,Cc1[nH]c2ccc(Cl)cc2c1-c1ccnc(NCc2cccnc2)n1,IC50,48000.0,nM,4.32,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802773,Cc1[nH]c2ccc(Cl)cc2c1-c1ccnc(Nc2cccc(Cl)c2)n1,IC50,2500.0,nM,5.6,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802771,Cc1[nH]c2ccccc2c1-c1ccnc(Nc2ccc(F)c(F)c2)n1,IC50,1500.0,nM,5.82,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802769,Cc1[nH]c2ccccc2c1-c1ccnc(Nc2cccc(Cl)c2)n1,IC50,300.0,nM,6.52,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802770,Cc1[nH]c2ccccc2c1-c1ccnc(Nc2ccccc2Cl)n1,IC50,19000.0,nM,4.72,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802630,Cc1[nH]c2ccccc2c1-c1ccnc(Nc2ccc(Cl)cc2)n1,IC50,600.0,nM,6.22,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802628,Cc1[nH]c2ccccc2c1-c1ccnc(NCc2cccnc2)n1,IC50,45000.0,nM,4.35,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802629,Cc1[nH]c2ccccc2c1-c1ccnc(Nc2cccnc2)n1,IC50,100.0,nM,7.0,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802626,Cc1[nH]c2ccc(Cl)cc2c1-c1ccnc(N2CCN(c3ccc(F)cc3)CC2)n1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802627,COC(=O)c1ccc2c(-c3ccnc(SCCN(C)C)n3)c[nH]c2c1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802625,Cc1[nH]c2ccccc2c1-c1ccnc(N2CCN(c3ccccn3)CC2)n1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802624,Cc1[nH]c2ccccc2c1-c1ccnc(N2CCCC2)n1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802623,COc1ccc2[nH]c(C)c(-c3ccnc(NC4CCCC4)n3)c2c1,IC50,1500.0,nM,5.82,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802622,COC(=O)c1ccc2c(-c3ccnc(NCCO)n3)c[nH]c2c1,IC50,9000.0,nM,5.05,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802621,COC(=O)c1ccc2c(-c3ccnc(NCCN4CCOCC4)n3)c[nH]c2c1,IC50,18000.0,nM,4.75,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802619,Cc1[nH]c2ccccc2c1-c1ccnc(N2CCOCC2)n1,IC50,90000.0,nM,4.05,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802620,Cc1[nH]c2ccccc2c1-c1ccnc(N2CCN(c3ccc(F)cc3)CC2)n1,IC50,100000.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802618,Cc1[nH]c2ccccc2c1-c1ccnc(NCCc2c[nH]c3ccccc23)n1,IC50,9000.0,nM,5.05,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802618,Cc1[nH]c2ccccc2c1-c1ccnc(NCCc2c[nH]c3ccccc23)n1,IC50,9000.0,nM,5.05,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802617,Cc1[nH]c2ccccc2c1-c1ccnc(NC(CO)C(C)C)n1,IC50,50000.0,nM,4.3,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802615,CN1CCN(c2ccc(Nc3ncnc4ccc([N+](=O)[O-])cc34)cc2)CC1,IC50,15000.0,nM,4.82,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802616,COCCCNc1nccc(-c2c(C)[nH]c3ccccc23)n1,IC50,1500.0,nM,5.82,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802614,COc1ccc2c(c1)/C(=N/NC(=O)c1cc(Br)ccc1O)C(=O)N2,IC50,9400.0,nM,5.03,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1800101,NCc1ccc(C(=O)N/N=C2\C(=O)Nc3ccc(Br)cc32)cc1,IC50,12000.0,nM,4.92,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802613,CSc1cccc(N/C=C2\C(=O)Nc3ccccc32)c1,IC50,2500.0,nM,5.6,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802612,FC(F)(F)c1nnc2ccc(NCCc3c[nH]c4ccccc34)nn12,IC50,19000.0,nM,4.72,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802611,Oc1nncc(Nc2ccc3cn[nH]c3c2)n1,IC50,13000.0,nM,4.89,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802610,C=C1NNC(=O)N=C1Nc1ccc2cn[nH]c2c1,IC50,16000.0,nM,4.8,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802609,Nc1nc(Nc2ccc(OC(F)(F)F)cc2)c2nc[nH]c2n1,IC50,20000.0,nM,4.7,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802608,Cn1ncc2c(N3CCOCC3)nc(NCCc3c[nH]c4ccccc34)nc21,IC50,11000.0,nM,4.96,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802607,Cc1[nH]c2ccc(Cl)cc2c1-c1ccnc(NCCN2CCOCC2)n1,IC50,12000.0,nM,4.92,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802493,OCCNc1nccc(-c2c[nH]c3ccccc23)n1,IC50,11000.0,nM,4.96,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802492,Cc1[nH]c2ccccc2c1-c1ccnc(NCCO)n1,IC50,11000.0,nM,4.96,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802491,c1ccc(-c2[nH]c3ccccc3c2-c2ccnc(NCCN3CCOCC3)n2)cc1,IC50,12000.0,nM,4.92,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802490,C=C1NNC(=O)/C1=N\Nc1ccc(S(N)(=O)=O)cc1,IC50,11000.0,nM,4.96,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802489,COc1ccc2c(c1)[nH]c1c(N3CCN(C(N)=O)CC3)ncnc12,IC50,13000.0,nM,4.89,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802488,CN1C(=O)NC(=O)/C(=C\c2c[nH]c3ccc(O)cc23)C1=O,IC50,3000.0,nM,5.52,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL38739,O=C1NC(=O)/C(=C/c2c[nH]c3ccccc23)N1,IC50,10500.0,nM,4.98,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1502303,O=C1NC(=O)/C(=C/c2c[nH]c3ccc(Br)cc23)N1,IC50,4000.0,nM,5.4,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802487,O=C1Cc2ccc(Oc3ccc4c(c3)NC(=O)C4)cc2N1,IC50,14000.0,nM,4.85,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL359482,Cc1cc(Nc2nc(-c3ccccc3)nc3ccccc23)n[nH]1,IC50,15000.0,nM,4.82,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL258805,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,IC50,5000.0,nM,5.3,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL64758,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3cc(Br)ccc3c21,IC50,6000.0,nM,5.22,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802486,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1,IC50,750.0,nM,6.12,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL413188,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1n1cncc21,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL416056,COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL191384,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL200381,N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,IC50,250.0,nM,6.6,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL405759,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,IC50,4000.0,nM,5.4,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1240885,Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,IC50,5000.0,nM,5.3,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802485,Cn1nc2c3c(cccc31)C(=O)c1ccccc1-2,IC50,12000.0,nM,4.92,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1725279,Oc1c2ccccc2c2c3c(cccc13)N=N2,IC50,8000.0,nM,5.1,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL383899,O=C(Nc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1,IC50,20000.0,nM,4.7,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1182777,O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL478629,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,IC50,16000.0,nM,4.8,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL270724,O=C(O)/C=C/c1cc(Br)c(Br)c(Br)c1Br,IC50,7000.0,nM,5.16,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802729,N#CCCc1ccc2c(c1)C1Nc3ccc([N+](=O)[O-])cc3C1CC(=O)N2,IC50,3500.0,nM,5.46,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL259389,Nc1n[nH]c2nc3ccccc3nc12,IC50,6000.0,nM,5.22,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL257167,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,IC50,250.0,nM,6.6,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL370698,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)Nc1c(F)cccc1F,IC50,8000.0,nM,5.1,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL261720,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,IC50,1600.0,nM,5.8,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL311228,CC(C)n1cnc2/c(=N/c3cccc(Cl)c3)nc(NCCO)[nH]c21,IC50,16000.0,nM,4.8,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL367625,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21,IC50,3000.0,nM,5.52,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802728,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,IC50,2000.0,nM,5.7,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL409450,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O,IC50,600.0,nM,6.22,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802727,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\OCCC(O)CO,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL126077,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,IC50,100.0,nM,,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL1802787,O=C1NC(=O)/C(=C\c2c[nH]c3ccccc23)N1,IC50,11000.0,nM,4.96,,CHEMBL1805140,9,CHEMBL5785,CHEMBL1799935,8qel,P19525
CHEMBL2171124,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,IC50,696.0,nM,6.16,,CHEMBL2172951,8,CHEMBL5785,CHEMBL2169840,8qel,P19525
