molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL752,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Ki,19200.0,nM,4.72,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL519155,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,Ki,1900.0,nM,5.72,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331361,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,Ki,11200.0,nM,4.95,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331362,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4ccc5ccccc5c4)ncnc32)[C@H](O)[C@@H]1O,Ki,2800.0,nM,5.55,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331363,N#Cc1cccc(-c2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1,Ki,4200.0,nM,5.38,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331364,N#Cc1cccc(Oc2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1,Ki,93000.0,nM,4.03,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331365,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4cccc(-c5ccccc5)c4)ncnc32)[C@H](O)[C@@H]1O,Ki,500.0,nM,6.3,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331366,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4ccccc4)ncnc32)[C@H](O)[C@@H]1O,Ki,1500.0,nM,5.82,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331367,COC(=O)c1cccc(-c2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1,Ki,2400.0,nM,5.62,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331368,N#Cc1ccc(-c2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)cc1,Ki,2100.0,nM,5.68,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331369,O=[N+]([O-])c1cccc(-c2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1,Ki,5300.0,nM,5.28,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331370,O=C(O)c1ccc(-c2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)cc1,Ki,2700.0,nM,5.57,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331371,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4ccc(O)cc4)ncnc32)[C@H](O)[C@@H]1O,Ki,1500.0,nM,5.82,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331372,O=C(O)CCC(=O)Nc1ccc(-c2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)cc1,Ki,3700.0,nM,5.43,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331373,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4ccoc4)ncnc32)[C@H](O)[C@@H]1O,Ki,1700.0,nM,5.77,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331374,O=Cc1ccc(-c2ncnc3c2ncn3[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)o1,Ki,3800.0,nM,5.42,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331375,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4ccc(Cl)s4)ncnc32)[C@H](O)[C@@H]1O,Ki,1300.0,nM,5.89,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331376,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4cccc5cccnc45)ncnc32)[C@H](O)[C@@H]1O,Ki,25900.0,nM,4.59,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
CHEMBL3331377,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(-c4ccc5cc[nH]c5c4)ncnc32)[C@H](O)[C@@H]1O,Ki,2500.0,nM,5.6,,CHEMBL3362303,9,CHEMBL3351218,CHEMBL3352723,8qhq,O43598
