molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL340663,NC(=O)c1cn(-c2ccc(O)cc2)c2cc(-c3ccncc3)ccc2c1=O,IC50,37000.0,nM,4.43,,CHEMBL663349,8,CHEMBL3837,CHEMBL1153663,8qkb,P07711
CHEMBL340384,NC(=O)c1cn(-c2ccc(O)cc2Cl)c2cc(-c3ccncc3)ccc2c1=O,IC50,22000.0,nM,4.66,,CHEMBL663349,8,CHEMBL3837,CHEMBL1153663,8qkb,P07711
CHEMBL77665,COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccc(OCc3ccccc3)cc2)cc1,IC50,10000.0,nM,,,CHEMBL661680,8,CHEMBL3837,CHEMBL1135429,8qkb,P07711
CHEMBL335942,O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1,IC50,200.0,nM,6.7,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL342189,C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,5.3,nM,8.28,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL134494,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)CC(C)C,IC50,0.95,nM,9.02,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790991,CC[C@@H](C)[C@H](NC(=O)Nc1ccccc1C(F)(F)F)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,2.0,nM,8.7,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790998,CC[C@@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,7.1,nM,8.15,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL136024,O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCc1ccccc1,IC50,1000.0,nM,,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL80508,COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ncn(-c3cccc(Cl)c3Cl)n2)cc1,IC50,10000.0,nM,,,CHEMBL661680,8,CHEMBL3837,CHEMBL1135429,8qkb,P07711
CHEMBL334405,O=C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)c1cccc2ccccc12,IC50,4.5,nM,8.35,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL77471,CCCc1ccc(C(=O)N[C@@H](CC(C)C)C(=O)NCCNc2ccc(OC)cc2)cc1,IC50,30.0,nM,,,CHEMBL661680,8,CHEMBL3837,CHEMBL1135429,8qkb,P07711
CHEMBL334443,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C)C=O,IC50,3.1,nM,8.51,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,IC50,6.6,nM,8.18,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,IC50,6.6,nM,8.18,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,IC50,2.5,nM,8.6,,CHEMBL663346,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,IC50,2.5,nM,8.6,,CHEMBL663346,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,IC50,47.0,nM,7.33,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,IC50,47.0,nM,7.33,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,IC50,47.0,nM,7.33,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,IC50,47.0,nM,7.33,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,IC50,47.0,nM,7.33,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,IC50,47.0,nM,7.33,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,IC50,47.0,nM,7.33,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790995,CC[C@@H](C)[C@H](/N=C(\S)NCc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,2.2,nM,8.66,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790994,CC[C@@H](C)[C@H](/N=C(\S)Nc1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,4.5,nM,8.35,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL336415,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)Cc1ccc(O)cc1,IC50,1.4,nM,8.85,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790996,CC[C@@H](C)[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,2.1,nM,8.68,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1791000,CC[C@@H](C)[C@H](/N=C(\S)Nc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,2.2,nM,8.66,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL336591,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)Cc1ccccc1,IC50,0.95,nM,9.02,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL132595,COC(=O)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,4.3,nM,8.37,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790999,CC[C@@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,2.2,nM,8.66,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL77354,COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccc(C(C)C)cn2)cc1,IC50,1500.0,nM,5.82,,CHEMBL661680,8,CHEMBL3837,CHEMBL1135429,8qkb,P07711
CHEMBL336748,O=C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CNS(=O)(=O)c1cccc2ccccc12,IC50,150.0,nM,6.82,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL134565,O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCc1ccccc1,IC50,110.0,nM,6.96,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL341577,CC(C)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,2.2,nM,8.66,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL132652,O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)Cc1ccccc1,IC50,32.0,nM,7.5,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL74142,COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ncn(-c3ccccc3Cl)n2)cc1,IC50,2300.0,nM,5.64,,CHEMBL661680,8,CHEMBL3837,CHEMBL1135429,8qkb,P07711
CHEMBL1791001,CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,3.3,nM,8.48,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790990,CC[C@@H](C)[C@H](NC(=O)NCc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,6.1,nM,8.21,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL341197,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)C(C)C,IC50,0.74,nM,9.13,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
CHEMBL1790993,CC[C@@H](C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,IC50,1.9,nM,8.72,,CHEMBL660643,8,CHEMBL3837,CHEMBL1131158,8qkb,P07711
