molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,3.9,nM,8.41,,CHEMBL1244333,8,CHEMBL5082,CHEMBL1240341,8qls,Q9Y6E0
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,3.9,nM,8.41,,CHEMBL1244333,8,CHEMBL5082,CHEMBL1240341,8qls,Q9Y6E0
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,3.9,nM,8.41,,CHEMBL1244333,8,CHEMBL5082,CHEMBL1240341,8qls,Q9Y6E0
CHEMBL3133821,Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,IC50,10000.0,nM,,,CHEMBL3242865,9,CHEMBL5082,CHEMBL3232836,8qls,Q9Y6E0
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,IC50,10000.0,nM,,,CHEMBL3748013,9,CHEMBL5082,CHEMBL3745707,8qls,Q9Y6E0
CHEMBL3770443,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1,IC50,43.0,nM,7.37,,CHEMBL3772528,9,CHEMBL5082,CHEMBL3769359,8qls,Q9Y6E0
CHEMBL3770443,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1,IC50,43.0,nM,7.37,,CHEMBL3772528,9,CHEMBL5082,CHEMBL3769359,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,4.32,nM,8.37,,CHEMBL4328515,9,CHEMBL5082,CHEMBL4325871,8qls,Q9Y6E0
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,IC50,10000.0,nM,,,CHEMBL4379268,9,CHEMBL5082,CHEMBL4376834,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,3.34,nM,8.48,,CHEMBL4412095,9,CHEMBL5082,CHEMBL4411276,8qls,Q9Y6E0
CHEMBL4634634,C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,IC50,100000.0,nM,,,CHEMBL4603633,9,CHEMBL5082,CHEMBL4602617,8qls,Q9Y6E0
CHEMBL4784866,Nc1cccc2cc[nH]c(=O)c12,IC50,22700.0,nM,4.64,,CHEMBL4699844,9,CHEMBL5082,CHEMBL4699400,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,11.8,nM,7.93,,CHEMBL4720637,9,CHEMBL5082,CHEMBL4715818,8qls,Q9Y6E0
CHEMBL4580220,CCc1ccccc1C(=O)Nc1n[nH]c2c(C)c(F)c(C3C(C#N)=C(C)N(C)C(C)=C3C#N)cc12,IC50,94.0,nM,7.03,,CHEMBL4884398,9,CHEMBL5082,CHEMBL4507319,8qls,Q9Y6E0
CHEMBL4580220,CCc1ccccc1C(=O)Nc1n[nH]c2c(C)c(F)c(C3C(C#N)=C(C)N(C)C(C)=C3C#N)cc12,IC50,94.0,nM,7.03,,CHEMBL4884398,9,CHEMBL5082,CHEMBL4507319,8qls,Q9Y6E0
CHEMBL4088216,CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4884864,9,CHEMBL5082,CHEMBL4507327,8qls,Q9Y6E0
CHEMBL4549667,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4885155,9,CHEMBL5082,CHEMBL4507326,8qls,Q9Y6E0
CHEMBL4097778,CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4885440,9,CHEMBL5082,CHEMBL4507327,8qls,Q9Y6E0
