molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2369159,N=C(N)N/N=C/c1cccc(Cl)c1Cl,IC50,977.0,nM,6.01,,CHEMBL4629319,9,CHEMBL4630805,CHEMBL4627375,8qzz,O75807
CHEMBL4862478,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,33.0,nM,7.48,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4852735,Cc1cc(NC(=O)[C@@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,187.0,nM,6.73,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4870495,Cc1cc(NC(=O)[C@H](O)c2ccccc2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,198.0,nM,6.7,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4866245,Cc1cc(NC(=O)Cc2ccccc2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,307.0,nM,6.51,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4856844,Cc1cc(NC(=O)Oc2ccccc2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,10000.0,nM,,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4853233,Cc1cc(NC(=O)Nc2ccccc2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,2360.0,nM,5.63,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4854364,CO[C@@H](C(=O)Nc1ccc(-c2cnc(N)c(C(=O)NC(C)C)c2)c(C)c1)c1ccccc1,IC50,3340.0,nM,5.48,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4868021,Cc1cc(NC(=O)[C@](C)(O)c2ccccc2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,2130.0,nM,5.67,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4848921,Cc1cc(NC(=O)[C@@](C)(O)c2ccccc2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,3020.0,nM,5.52,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4870100,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)OC(C)C)c1,IC50,49.0,nM,7.31,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4875875,CNC(=O)c1cc(-c2ccc(NC(=O)[C@H](O)c3cc(F)cc(F)c3)cc2C)cnc1N,IC50,58.0,nM,7.24,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4876223,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)N(C)C)c1,IC50,2220.0,nM,5.65,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4863698,CCNC(=O)c1cc(-c2ccc(NC(=O)[C@H](O)c3cc(F)cc(F)c3)cc2C)cnc1N,IC50,45.0,nM,7.35,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4869882,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC2CC2)c1,IC50,27.0,nM,7.57,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4876496,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)(C)C)c1,IC50,114.0,nM,6.94,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4853221,Cc1cc(NC(=O)[C@H](O)c2cccc(Cl)c2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,40.0,nM,7.4,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4870780,Cc1cccc([C@@H](O)C(=O)Nc2ccc(-c3cnc(N)c(C(=O)NC(C)C)c3)c(C)c2)c1,IC50,54.0,nM,7.27,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4858308,CCc1cccc([C@@H](O)C(=O)Nc2ccc(-c3cnc(N)c(C(=O)NC(C)C)c3)c(C)c2)c1,IC50,18.0,nM,7.75,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4846663,CC(C)NC(=O)c1cc(-c2ccc(NC(=O)[C@H](O)c3cc(F)cc(F)c3)cc2)cnc1N,IC50,313.0,nM,6.5,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4851480,CC(C)NC(=O)c1cc(-c2ccc(NC(=O)[C@H](O)c3cc(F)cc(F)c3)cc2F)cnc1N,IC50,72.0,nM,7.14,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4848143,CC(C)NC(=O)c1cc(-c2ccc(NC(=O)[C@H](O)c3cc(F)cc(F)c3)cc2Cl)cnc1N,IC50,23.0,nM,7.64,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4857782,CCc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,9.0,nM,8.05,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4870565,COc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1,IC50,366.0,nM,6.44,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4861671,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)C)n1,IC50,42.0,nM,7.38,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4878188,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cc(C(=O)NC(C)C)c(N)nn1,IC50,7650.0,nM,5.12,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
CHEMBL4854504,Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cncc(C(=O)NC(C)C)c1,IC50,181.0,nM,6.74,,CHEMBL4822226,9,CHEMBL1255131,CHEMBL4819104,8qzz,P05198
