molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5563081,Cc1cc([C@H]2CC[C@@H](N(C)CCc3ccc(Cl)cc3)CC2)on1,IC50,190.0,nM,6.72,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5563081,Cc1cc([C@H]2CC[C@@H](N(C)CCc3ccc(Cl)cc3)CC2)on1,IC50,190.0,nM,6.72,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5562985,CC(C)CN1C[C@H](Cc2ccc(Cl)cc2)N(C2CCN(c3ccccn3)CC2)C[C@@H]1C,IC50,486.0,nM,6.31,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5562985,CC(C)CN1C[C@H](Cc2ccc(Cl)cc2)N(C2CCN(c3ccccn3)CC2)C[C@@H]1C,IC50,486.0,nM,6.31,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5572352,C[C@H]1CN(C2CCN(c3ccccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CN1C,IC50,150.0,nM,6.82,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5572352,C[C@H]1CN(C2CCN(c3ccccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CN1C,IC50,150.0,nM,6.82,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5570010,C[C@H]1CN(C2CCN(c3nccs3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,IC50,180.0,nM,6.75,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5592069,C[C@H]1CN(C2CCN(c3ccccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,IC50,118.0,nM,6.93,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5592069,C[C@H]1CN(C2CCN(c3ccccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,IC50,118.0,nM,6.93,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
CHEMBL5592069,C[C@H]1CN(C2CCN(c3ccccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,IC50,118.0,nM,6.93,,CHEMBL5531564,9,CHEMBL5724768,CHEMBL5528077,8r42,P36222
