molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4065181,COc1ccc(-c2nn3c(-c4cccs4)nnc3s2)cc1OC,IC50,100000.0,nM,,,CHEMBL4008387,9,CHEMBL4105713,CHEMBL4007403,8riy,Q9UKK9
CHEMBL4072833,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,IC50,13900.0,nM,4.86,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,IC50,837.0,nM,6.08,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,IC50,837.0,nM,6.08,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,IC50,837.0,nM,6.08,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL4449342,C#Cc1cccc(Oc2ccc(-c3nn([C@@H]4CCCN(C(=O)C=C)C4)c4ncnc(N)c34)cc2)c1,IC50,21200.0,nM,4.67,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL5527860,CN1CCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,IC50,270.0,nM,6.57,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL5527860,CN1CCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,IC50,270.0,nM,6.57,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL5549952,Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,IC50,487.0,nM,6.31,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL1242204,Nc1ncnc2[nH]nc(-c3ccc(Oc4ccccc4)cc3)c12,IC50,2040.0,nM,5.69,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL5560485,C=CC(=O)N1CC=C(c2nn(C3CCN(C)CC3)c3ncnc(N)c23)CC1,IC50,50000.0,nM,,,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
CHEMBL5561533,C=CC(=O)N1CCC=C(c2nn(C3CCN(C)CC3)c3ncnc(N)c23)C1,IC50,,,,Not Determined,CHEMBL5509526,9,CHEMBL4105713,CHEMBL5506016,8riy,Q9UKK9
