molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL54768,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn2cncn2)cc1,IC50,0.01,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL54768,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn2cncn2)cc1,IC50,0.01,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL64391,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,IC50,0.06,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL64391,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,IC50,0.06,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL422025,CCCCCCC/C=C/C[C@@H]1OC[C@H](C)[C@H](OC)[C@H]1COC(=O)CN,IC50,0.08,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL349069,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn2ccnc2)cc1,IC50,0.032,ug.mL-1,,,CHEMBL705239,8,CHEMBL3849,CHEMBL1151576,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL760336,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL760336,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL760336,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL760336,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL760336,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL760336,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.042,ug.mL-1,,,CHEMBL760336,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.039,ug.mL-1,,,CHEMBL762239,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.039,ug.mL-1,,,CHEMBL762239,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.039,ug.mL-1,,,CHEMBL762239,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.039,ug.mL-1,,,CHEMBL762239,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.039,ug.mL-1,,,CHEMBL762239,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.039,ug.mL-1,,,CHEMBL762239,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,0.039,ug.mL-1,,,CHEMBL762239,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL415943,CO/N=C1\[C@@H](Cn2cncn2)[C@H](COc2ccc(OC(F)(F)F)cc2)CCC1(C)C,IC50,0.024,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL53214,CCc1ccc(CC[C@@H]2CCC(C)(C)/C(=N/O)[C@H]2Cn2cncn2)cc1,IC50,0.026,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL51326,COC1[C@@H](Cn2cncn2)[C@H](COc2ccc(OC(F)(F)F)cc2)CCC1(C)C,IC50,0.049,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL53213,CCc1ccc(CC[C@@H]2CCC(C)(C)C(OCCO)[C@H]2Cn2cncn2)cc1,IC50,0.032,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL298394,CCc1ccc(CC[C@@H]2CCC(C)(C)/C(=N/OC)[C@H]2Cn2cncn2)cc1,IC50,0.032,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL54768,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn2cncn2)cc1,IC50,0.01,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL54768,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn2cncn2)cc1,IC50,0.01,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL52311,CC1(C)CC[C@@H](COc2ccc(OC(F)(F)F)cc2)[C@H](Cn2cncn2)C1OCCO,IC50,0.01,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL415955,CC1(C)CC[C@@H](COc2ccc(OC(F)(F)F)cc2)[C@H](Cn2cncn2)/C1=N\O,IC50,0.054,ug.mL-1,,,CHEMBL762240,8,CHEMBL3849,CHEMBL1130883,8sbi,Q16850
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,IC50,130.0,nM,6.89,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL64391,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,IC50,3600.0,nM,5.44,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL64391,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,IC50,3600.0,nM,5.44,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL1714574,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,IC50,3000.0,nM,5.52,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL253363,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,200000.0,nM,,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,IC50,200000.0,nM,,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL808,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,IC50,50.0,nM,7.3,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL261627,Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,IC50,10000.0,nM,,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL277535,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,IC50,342.0,nM,6.47,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
CHEMBL407132,OC(c1ccccc1)(c1cncnc1)c1ccc(Cl)cc1Cl,IC50,10000.0,nM,,,CHEMBL934981,9,CHEMBL3849,CHEMBL1143822,8sbi,Q16850
