molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1934618,C=CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](SCCCCCCCCCCCC)(C(=O)O)C[C@@H]1O,IC50,7810.0,nM,5.11,,CHEMBL1935837,9,CHEMBL1075313,CHEMBL1932915,8sd4,P03452
CHEMBL1934619,C=CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(O)(C(=O)O)C[C@@H]1O,IC50,250000.0,nM,,,CHEMBL1935837,9,CHEMBL1075313,CHEMBL1932915,8sd4,P03452
CHEMBL1934620,C=CC(=O)NCCCCCC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](SCCCCCCCCCCCC)(C(=O)O)C[C@@H]1O,IC50,7810.0,nM,5.11,,CHEMBL1935837,9,CHEMBL1075313,CHEMBL1932915,8sd4,P03452
CHEMBL3288937,COC(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)N(Cc1ccc(F)cc1)C1(C(=O)NCc2ccccc2)CCN(Cc2ccccc2)CC1,IC50,12000.0,nM,4.92,,CHEMBL4686574,9,CHEMBL1075313,CHEMBL4680243,8sd4,P03452
CHEMBL1084188,CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](C)N)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)O)C(C)C,Kd,7.8,nM,8.11,,CHEMBL1119385,9,CHEMBL1075313,CHEMBL1155549,8sd4,P03452
CHEMBL1084189,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)O,Kd,30.0,nM,7.52,,CHEMBL1119385,9,CHEMBL1075313,CHEMBL1155549,8sd4,P03452
CHEMBL1084190,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)CN)C(C)C)C(=O)N[C@@H](CO)C(=O)O,Kd,11.0,nM,7.96,,CHEMBL1119385,9,CHEMBL1075313,CHEMBL1155549,8sd4,P03452
CHEMBL1084191,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CN)C(C)C)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,Kd,7.8,nM,8.11,,CHEMBL1119385,9,CHEMBL1075313,CHEMBL1155549,8sd4,P03452
CHEMBL1084192,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)[C@@H](C)CC)[C@@H](C)CC,Kd,19.0,nM,7.72,,CHEMBL1119385,9,CHEMBL1075313,CHEMBL1155549,8sd4,P03452
CHEMBL169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,Kd,46500.0,nM,4.33,,CHEMBL4412185,8,CHEMBL1075313,CHEMBL4411280,8sd4,P03452
CHEMBL4569515,C[C@H]1[C@H](C)CC[C@]2(C(=O)NCCNC(=O)c3ccccc3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,Kd,15600.0,nM,4.81,,CHEMBL4412185,8,CHEMBL1075313,CHEMBL4411280,8sd4,P03452
CHEMBL4464620,CC1(C)CC[C@]2(C(=O)NCCNC(=O)c3ccccc3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Kd,36000.0,nM,4.44,,CHEMBL4412185,8,CHEMBL1075313,CHEMBL4411280,8sd4,P03452
CHEMBL4633638,CC(=O)c1cc(C)c(O)c(Cc2c[nH]c3ccccc23)c1O,Kd,,,,Not Active,CHEMBL4621368,9,CHEMBL1075313,CHEMBL4619773,8sd4,P03452
CHEMBL4639026,CC(=O)c1cc(C)c(O)c(Cc2[nH]c3ccccc3c2Cc2c(O)c(C)cc(C(C)=O)c2O)c1O,Kd,6300.0,nM,5.2,,CHEMBL4621368,9,CHEMBL1075313,CHEMBL4619773,8sd4,P03452
CHEMBL4639026,CC(=O)c1cc(C)c(O)c(Cc2[nH]c3ccccc3c2Cc2c(O)c(C)cc(C(C)=O)c2O)c1O,Kd,6300.0,nM,5.2,,CHEMBL4621368,9,CHEMBL1075313,CHEMBL4619773,8sd4,P03452
CHEMBL4639026,CC(=O)c1cc(C)c(O)c(Cc2[nH]c3ccccc3c2Cc2c(O)c(C)cc(C(C)=O)c2O)c1O,Kd,6300.0,nM,5.2,,CHEMBL4621368,9,CHEMBL1075313,CHEMBL4619773,8sd4,P03452
CHEMBL1214598,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,Kd,11100.0,nM,4.96,,CHEMBL4621368,9,CHEMBL1075313,CHEMBL4619773,8sd4,P03452
