molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5416881,O=C(NC1(c2ccc(Cl)cc2)COC1)c1ccc(N2CCC(O)CC2)cc1,Kd,6000.0,nM,5.22,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5423537,O=C(NC1(c2ccc(Cl)cc2)COC1)c1ccc(N2CCC(O)C2)cc1,Kd,6000.0,nM,5.22,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5431441,CN1CCc2cc(C(=O)NC3(c4ccc(Cl)cc4)COC3)sc2C1,Kd,8000.0,nM,5.1,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5424848,O=C(NC1(c2ccc(Cl)cc2)COC1)c1ccc(-c2cc[nH]n2)s1,Kd,8000.0,nM,5.1,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5419198,Cc1cn2cc(C(=O)NC3(c4ccc(Cl)cc4)COC3)sc2n1,Kd,11000.0,nM,4.96,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5427504,O=C(NC1(c2ccc(Cl)cc2)COC1)c1ccc(CN2CCCC2=O)cc1,Kd,11000.0,nM,4.96,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5427230,O=C(NC1(c2ccc(Cl)cc2)COC1)c1ccc2snnc2c1,Kd,14000.0,nM,4.85,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5413512,O=C(NC(CCO)c1ccc(Cl)cc1)c1ccc(N2CCC(O)C2)cc1,Kd,15000.0,nM,4.82,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5405711,O=C(NC1(c2ccc(Cl)cc2)COC1)c1ccc(C2(O)COC2)cc1,Kd,20000.0,nM,4.7,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5419950,NC(=O)C1CCCN(c2ccc(C(=O)NC(c3ccc(Cl)cc3)C3CC3)cc2)C1,Kd,37000.0,nM,4.43,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5437296,CC(=O)NCc1ccc(C(=O)NC2(c3ccc(Cl)cc3)COC2)cc1,Kd,97000.0,nM,4.01,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5433244,NC(=O)C1CCCN(c2ccc(C(=O)NC(CCO)c3ccc(Cl)cc3)cc2)C1,Kd,14000.0,nM,4.85,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5437089,Nc1ncnc2ccc(C(=O)NC3(c4ccc(Cl)cc4)COC3)cc12,Kd,42000.0,nM,4.38,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5427416,O=C(c1ccc(N2CCC(O)C2)cc1)N1CC(O)(c2ccc(Cl)cc2)C1,Kd,16000.0,nM,4.8,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5440657,O=C1Cc2c(cccc2C(=O)NC2(c3ccc(Cl)cc3)COC2)N1,Kd,22000.0,nM,4.66,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5440940,O=C(NC(CCO)c1ccc(Cl)cc1)c1ccc(CN2CCCC2=O)cc1,Kd,99000.0,nM,4.0,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5434259,C=CC(=O)N1CCCc2c(C(=O)NC3(c4ccc(Cl)cc4)COC3)cccc21,Kd,36000.0,nM,4.44,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
CHEMBL5395943,C=CC(=O)N1CCCc2c(C(=O)NC(c3ccc(Cl)cc3)C3CC3)cccc21,Kd,43000.0,nM,4.37,,CHEMBL5377212,9,CHEMBL5465256,CHEMBL5375963,8shj,A4D1P6
