molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL466658,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,IC50,25000.0,nM,,,CHEMBL984755,8,CHEMBL5891,CHEMBL1155844,8shr,O60678
CHEMBL468927,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3cccc4ncsc34)o2)c1,IC50,25000.0,nM,,,CHEMBL971430,8,CHEMBL5891,CHEMBL1136918,8shr,O60678
CHEMBL584335,CNCCN1CCC(c2cc(C)c3[nH]c(-c4c(OC)cccc4OC)nc3c2)CC1,IC50,25000.0,nM,,,CHEMBL1037276,8,CHEMBL5891,CHEMBL1155316,8shr,O60678
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,,,,Not Determined,CHEMBL1217462,8,CHEMBL5891,CHEMBL1212833,8shr,O60678
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,40000.0,nM,,,CHEMBL1217462,8,CHEMBL5891,CHEMBL1212833,8shr,O60678
CHEMBL1214066,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCOCCN(C)C,IC50,40000.0,nM,,,CHEMBL1217462,8,CHEMBL5891,CHEMBL1212833,8shr,O60678
CHEMBL1092740,CC(=O)Nc1ccc(/N=N/c2c(S(=O)(=O)O)cc3cc(NC(=O)Nc4ccc5c(O)c(/N=N/c6ccccc6)c(S(=O)(=O)O)cc5c4)ccc3c2O)cc1,IC50,7100.0,nM,5.15,,CHEMBL1273390,8,CHEMBL5891,CHEMBL1268868,8shr,O60678
CHEMBL1829304,COc1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,IC50,10000.0,nM,,,CHEMBL1832318,8,CHEMBL5891,CHEMBL1828613,8shr,O60678
CHEMBL2047477,CCn1/c(=C\C=C\C2=[N+](CC)c3cccc4cccc2c34)c2cccc3cccc1c32.[I-],IC50,8300.0,nM,5.08,,CHEMBL2050392,8,CHEMBL5891,CHEMBL2046392,8shr,O60678
CHEMBL2204995,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,IC50,74000.0,nM,4.13,,CHEMBL2209109,8,CHEMBL5891,CHEMBL2202955,8shr,O60678
CHEMBL2204997,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C,IC50,54000.0,nM,4.27,,CHEMBL2209109,8,CHEMBL5891,CHEMBL2202955,8shr,O60678
CHEMBL2204998,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(N4CCN(C)CC4)nc3)cc3c2cnn3C(C)C)c(=O)[nH]1,IC50,100000.0,nM,,,CHEMBL2209109,8,CHEMBL5891,CHEMBL2202955,8shr,O60678
CHEMBL2325198,O=C(NCC(=O)N1CCCCC1)Nc1ccc2nnsc2c1,IC50,230.0,nM,6.64,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325198,O=C(NCC(=O)N1CCCCC1)Nc1ccc2nnsc2c1,IC50,230.0,nM,6.64,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325197,O=C(NCC(=O)c1ccc(F)cc1)Nc1ccc2nnsc2c1,IC50,360.0,nM,6.44,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325196,O=C(NCC(=O)C1CCCCC1)Nc1ccc2nnsc2c1,IC50,840.0,nM,6.08,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325195,O=C(NCC(O)C1CCCCC1)Nc1ccc2nnsc2c1,IC50,490.0,nM,6.31,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325194,O=C(NCC(O)c1ccccc1F)Nc1ccc2nnsc2c1,IC50,3300.0,nM,5.48,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325193,O=C(NCC(O)c1ccc(F)cc1)Nc1ccc2nnsc2c1,IC50,4400.0,nM,5.36,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325192,O=C(NCC(F)(F)c1ccccc1)Nc1ccc2nnsc2c1,IC50,5000.0,nM,5.3,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325191,O=C(NCC(O)c1ccccc1)Nc1ccc2nnsc2c1,IC50,1900.0,nM,5.72,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325190,NC(CNC(=O)Nc1ccc2nnsc2c1)c1ccccc1,IC50,5900.0,nM,5.23,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325189,O=C(NCCCC1CCNCC1)Nc1ccc2nnsc2c1,IC50,3300.0,nM,5.48,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325188,N[C@H]1CC[C@H](CCCNC(=O)Nc2ccc3nnsc3c2)CC1,IC50,5300.0,nM,5.28,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325187,N[C@H]1CC[C@H](CCNC(=O)Nc2ccc3nnsc3c2)CC1,IC50,10000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325186,N[C@H]1CC[C@@H](CCNC(=O)Nc2ccc3nnsc3c2)CC1,IC50,3600.0,nM,5.44,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325185,O=C(NCCC1CCNCC1)Nc1ccc2nnsc2c1,IC50,2700.0,nM,5.57,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325184,O=C(NCCCc1ccc(F)cc1)Nc1ccc2nnsc2c1,IC50,2200.0,nM,5.66,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325183,O=C(NCC(=O)c1ccccc1)Nc1ccc2nnsc2c1,IC50,480.0,nM,6.32,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325182,O=C(NCc1ccccc1C(F)(F)F)Nc1ccc2nnsc2c1,IC50,25000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325181,O=C(NCc1ccc(F)cc1)Nc1ccc2nnsc2c1,IC50,4000.0,nM,5.4,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325180,O=C(NCc1ccc(C(F)(F)F)cc1)Nc1ccc2nnsc2c1,IC50,3100.0,nM,5.51,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325179,N#Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,IC50,1800.0,nM,5.75,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325178,CS(=O)(=O)c1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,IC50,850.0,nM,6.07,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325177,O=C(NCc1ccc([N+](=O)[O-])cc1)Nc1ccc2nnsc2c1,IC50,300.0,nM,6.52,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325176,COc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,IC50,10000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325175,CN(C)c1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,IC50,15000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325174,O=C(NCc1ccncc1)Nc1ccc2nnsc2c1,IC50,10000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325173,O=C(NCc1cccnc1)Nc1ccc2nnsc2c1,IC50,15000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325172,O=C(NCc1ccccn1)Nc1ccc2nnsc2c1,IC50,15000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325171,O=C(NCc1ccccc1)Nc1ccc2nnsc2c1,IC50,25000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325170,CC(C)(C)CCNC(=O)Nc1ccc2nnsc2c1,IC50,10000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325169,CCNC(=O)Nc1ccc2nnsc2c1,IC50,15000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325168,O=C(NCC1CCCCC1)Nc1ccc2nnsc2c1,IC50,50000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325167,O=C(NCCN1CCCC1)Nc1ccc2nnsc2c1,IC50,10000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325166,O=C(NCCCN1CCOCC1)Nc1ccc2nnsc2c1,IC50,7200.0,nM,5.14,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325165,O=C(NCCN1CCOCC1)Nc1ccc2nnsc2c1,IC50,10000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325164,O=C(NCCN1CCCCC1)Nc1ccc2nnsc2c1,IC50,5200.0,nM,5.28,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325163,O=C(NCCC1CCOCC1)Nc1ccc2nnsc2c1,IC50,3600.0,nM,5.44,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325162,c1cc2nnsc2cc1Nc1nnc(CCC2CCCCC2)[nH]1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325161,N#C/N=C(\NCCC1CCCCC1)Nc1ccc2nnsc2c1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325160,O=C(CNc1c(Nc2ccc3nnsc3c2)c(=O)c1=O)c1ccccc1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325448,O=c1c(NCCC2CCCCC2)c(Nc2ccc3nnsc3c2)c1=O,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325447,O=C(NCCC1CCCCC1)Nc1ccc2[nH]c(=O)oc2c1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325446,O=C(NCCC1CCCCC1)Nc1ccc2[nH]ncc2c1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325445,O=C(NCCC1CCCCC1)Nc1ccc2cn[nH]c2c1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325444,O=C(NCCC1CCCCC1)Nc1ccc2nn[nH]c2c1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325443,O=C(NCCC1CCCCC1)Nc1ccc2ncsc2c1,IC50,100000.0,nM,,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325442,O=C(NCCC1CCCCC1)Nc1ccc2nnsc2c1,IC50,1000.0,nM,6.0,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325442,O=C(NCCC1CCCCC1)Nc1ccc2nnsc2c1,IC50,1000.0,nM,6.0,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
CHEMBL2325441,O=C(NCCC1=CCCCC1)Nc1ccc2nnsc2c1,IC50,2400.0,nM,5.62,,CHEMBL2330282,9,CHEMBL5891,CHEMBL2321656,8shr,O60678
