molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL606052,N#Cc1ccc2c(c1)NC(=O)C2c1ncnc2cc(OCCCN3CCOCC3)ccc12,IC50,4000.0,nM,5.4,,CHEMBL665163,8,CHEMBL4630,CHEMBL1137086,8siw,O14757
CHEMBL58905,COc1ccc(Nc2nc(Nc3ccc(C(=O)O)cc3)ncc2Br)cc1,IC50,450.0,nM,6.35,,CHEMBL665163,8,CHEMBL4630,CHEMBL1137086,8siw,O14757
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,40000.0,nM,,,CHEMBL798342,8,CHEMBL4630,CHEMBL1149325,8siw,O14757
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,40000.0,nM,,,CHEMBL798342,8,CHEMBL4630,CHEMBL1149325,8siw,O14757
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,40000.0,nM,,,CHEMBL798342,8,CHEMBL4630,CHEMBL1149325,8siw,O14757
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,40000.0,nM,,,CHEMBL798342,8,CHEMBL4630,CHEMBL1149325,8siw,O14757
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,IC50,40000.0,nM,,,CHEMBL798342,8,CHEMBL4630,CHEMBL1149325,8siw,O14757
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,IC50,10000.0,nM,,,CHEMBL798939,8,CHEMBL4630,CHEMBL1148336,8siw,O14757
CHEMBL150894,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,IC50,3000.0,nM,,,CHEMBL799022,9,CHEMBL4630,CHEMBL1145920,8siw,O14757
CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,IC50,1000.0,nM,,,CHEMBL798343,8,CHEMBL4630,CHEMBL1136753,8siw,O14757
CHEMBL332551,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,IC50,237.0,nM,6.62,,CHEMBL833021,9,CHEMBL4630,CHEMBL1137167,8siw,O14757
CHEMBL332551,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,IC50,237.0,nM,6.62,,CHEMBL833021,9,CHEMBL4630,CHEMBL1137167,8siw,O14757
CHEMBL332551,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,IC50,237.0,nM,6.62,,CHEMBL833021,9,CHEMBL4630,CHEMBL1137167,8siw,O14757
