molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3913021,O=C(O)c1cccc(-c2ccncc2)c1,IC50,250000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL3913021,O=C(O)c1cccc(-c2ccncc2)c1,IC50,250000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL3896367,O=C(O)c1cccc(-c2cccnc2)c1,IC50,240000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL3896367,O=C(O)c1cccc(-c2cccnc2)c1,IC50,240000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL3967375,O=C(O)c1cccc(-c2nccs2)c1,IC50,250000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL3967375,O=C(O)c1cccc(-c2nccs2)c1,IC50,250000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL1834963,O=C(O)c1cccc(C#Cc2ccccc2)c1,IC50,480000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL1834963,O=C(O)c1cccc(C#Cc2ccccc2)c1,IC50,480000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL1327484,O=C(O)CSc1ccnc2cc(Cl)ccc12,IC50,220000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL1327484,O=C(O)CSc1ccnc2cc(Cl)ccc12,IC50,220000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL582878,O=C(O)CCCc1c[nH]c2ccccc12,IC50,480000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL582878,O=C(O)CCCc1c[nH]c2ccccc12,IC50,480000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL2018158,O=C(O)c1ccc2[nH]ccc2c1,IC50,1390000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
CHEMBL2018158,O=C(O)c1ccc2[nH]ccc2c1,IC50,1390000.0,nM,,,CHEMBL3860119,9,CHEMBL1287604,CHEMBL3860021,8sqf,Q6XEC0
