molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL410683,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,2.4,nM,8.62,,CHEMBL880930,8,CHEMBL3401,CHEMBL1140376,8svo,O75469
CHEMBL402063,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,2.4,nM,8.62,,CHEMBL880930,8,CHEMBL3401,CHEMBL1140376,8svo,O75469
CHEMBL402063,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,2.4,nM,8.62,,CHEMBL880930,8,CHEMBL3401,CHEMBL1140376,8svo,O75469
CHEMBL207690,CCCc1c(OCCCN2C(=O)Cc3cc(CC(=O)O)ccc32)ccc2c(C(F)(F)F)noc12,IC50,10000.0,nM,,,CHEMBL870189,9,CHEMBL3401,CHEMBL1148661,8svo,O75469
CHEMBL242526,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)C(F)(F)F)cc1,IC50,10000.0,nM,5.0,,CHEMBL891766,9,CHEMBL3401,CHEMBL1146359,8svo,O75469
CHEMBL430006,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,IC50,19.95,nM,7.7,,CHEMBL891766,9,CHEMBL3401,CHEMBL1146359,8svo,O75469
CHEMBL396953,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C#Cc2ccccc2)C(F)(F)F)cc1,IC50,630.96,nM,6.2,,CHEMBL891766,9,CHEMBL3401,CHEMBL1146359,8svo,O75469
CHEMBL242293,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(c2ccccc2)C(F)(F)F)cc1,IC50,63.1,nM,7.2,,CHEMBL891766,9,CHEMBL3401,CHEMBL1146359,8svo,O75469
CHEMBL396952,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C2CCCCC2)C(F)(F)F)cc1,IC50,25.12,nM,7.6,,CHEMBL891766,9,CHEMBL3401,CHEMBL1146359,8svo,O75469
CHEMBL242291,CC(=O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,IC50,1584.89,nM,5.8,,CHEMBL891766,9,CHEMBL3401,CHEMBL1146359,8svo,O75469
