molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL595018,O=C1NCC2c3c(cccc31)CCN2C(=O)Cc1cccnc1,IC50,440.0,nM,6.36,,CHEMBL1074656,8,CHEMBL6142,CHEMBL1153250,8swy,Q9UKK3
CHEMBL609002,O=C1NCC2c3c(cccc31)CCN2C(=O)CCc1cnccn1,IC50,660.0,nM,6.18,,CHEMBL1074656,8,CHEMBL6142,CHEMBL1153250,8swy,Q9UKK3
CHEMBL1094636,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,IC50,330.0,nM,6.48,,CHEMBL1116321,9,CHEMBL6142,CHEMBL1157008,8swy,Q9UKK3
CHEMBL1094636,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,IC50,330.0,nM,6.48,,CHEMBL1116321,9,CHEMBL6142,CHEMBL1157008,8swy,Q9UKK3
CHEMBL1094636,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,IC50,330.0,nM,6.48,,CHEMBL1116321,9,CHEMBL6142,CHEMBL1157008,8swy,Q9UKK3
CHEMBL1094636,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,IC50,330.0,nM,6.48,,CHEMBL1116321,9,CHEMBL6142,CHEMBL1157008,8swy,Q9UKK3
CHEMBL3593715,O=c1[nH]c(N2CCN(Cc3ccncc3)CC2)nc2c1CCCC2,IC50,33000.0,nM,4.48,,CHEMBL3595284,9,CHEMBL6142,CHEMBL3593161,8swy,Q9UKK3
CHEMBL3593716,CN1CCN(c2nc3c(c(=O)[nH]2)CCCC3)CC1,IC50,17000.0,nM,4.77,,CHEMBL3595284,9,CHEMBL6142,CHEMBL3593161,8swy,Q9UKK3
CHEMBL3594136,CC(C)c1ccc(C2NC(=O)c3ccccc3N2)cc1,IC50,100000.0,nM,,,CHEMBL3595284,9,CHEMBL6142,CHEMBL3593161,8swy,Q9UKK3
CHEMBL3594137,CC(C)(C)c1ccc(C2NC(=O)c3ccccc3N2)cc1,IC50,100000.0,nM,,,CHEMBL3595284,9,CHEMBL6142,CHEMBL3593161,8swy,Q9UKK3
CHEMBL3752386,COc1ccc(C2(CNC(=O)c3ccc(NC(=O)c4ccco4)cc3Cl)CCOCC2)cc1,IC50,100000.0,nM,,,CHEMBL3757403,9,CHEMBL6142,CHEMBL3751785,8swy,Q9UKK3
CHEMBL3752492,COc1ccc(C(=O)Nc2ccc(C(=O)N(c3ccncn3)c3ccccc3Cl)cc2)cc1,IC50,100000.0,nM,,,CHEMBL3757403,9,CHEMBL6142,CHEMBL3751785,8swy,Q9UKK3
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4390.0,nM,5.36,,CHEMBL3995363,9,CHEMBL6142,CHEMBL3994596,8swy,Q9UKK3
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4390.0,nM,5.36,,CHEMBL3995363,9,CHEMBL6142,CHEMBL3994596,8swy,Q9UKK3
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4390.0,nM,5.36,,CHEMBL3995363,9,CHEMBL6142,CHEMBL3994596,8swy,Q9UKK3
CHEMBL4101890,Cc1cc(N2C[C@@H](C)N[C@@H](C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,IC50,,,,Not Active,CHEMBL3995363,9,CHEMBL6142,CHEMBL3994596,8swy,Q9UKK3
CHEMBL1173055,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,IC50,839.0,nM,6.08,,CHEMBL3995363,9,CHEMBL6142,CHEMBL3994596,8swy,Q9UKK3
