molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3444062,CC1(C)OCC(CNC(=O)c2cnn(-c3ccc(Cl)cc3)c2N)O1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3444062,CC1(C)OCC(CNC(=O)c2cnn(-c3ccc(Cl)cc3)c2N)O1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3444062,CC1(C)OCC(CNC(=O)c2cnn(-c3ccc(Cl)cc3)c2N)O1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3444062,CC1(C)OCC(CNC(=O)c2cnn(-c3ccc(Cl)cc3)c2N)O1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486162,Cc1cc(-c2nn(C)c(Cl)c2CN2Cc3ccccc3C(O)C2)no1,IC50,41528.97,nM,4.38,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486162,Cc1cc(-c2nn(C)c(Cl)c2CN2Cc3ccccc3C(O)C2)no1,IC50,41528.97,nM,4.38,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486162,Cc1cc(-c2nn(C)c(Cl)c2CN2Cc3ccccc3C(O)C2)no1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486162,Cc1cc(-c2nn(C)c(Cl)c2CN2Cc3ccccc3C(O)C2)no1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486472,O=C(Cc1cccc(Cl)c1)N[C@@H]1CCNC[C@H]1O,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486472,O=C(Cc1cccc(Cl)c1)N[C@@H]1CCNC[C@H]1O,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486472,O=C(Cc1cccc(Cl)c1)N[C@@H]1CCNC[C@H]1O,IC50,21349.89,nM,4.67,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3486472,O=C(Cc1cccc(Cl)c1)N[C@@H]1CCNC[C@H]1O,IC50,21349.89,nM,4.67,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3487135,CC(C)c1cc(C(F)(F)F)n2nc(CCC(=O)O)nc2n1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
CHEMBL3487135,CC(C)c1cc(C(F)(F)F)n2nc(CCC(=O)O)nc2n1,IC50,100000.0,nM,,,CHEMBL4649966,6,CHEMBL4662932,CHEMBL3988442,8sz2,P09385
