molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,Kd,6000.0,nM,5.22,,CHEMBL1675120,9,CHEMBL1681615,CHEMBL1671646,8tdp,P9WPP7
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,Kd,73.0,nM,7.14,,CHEMBL3806366,8,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL808,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,Kd,73.0,nM,7.14,,CHEMBL3806366,8,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Kd,73.0,nM,7.14,,CHEMBL3806366,8,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3805962,Oc1ccc(-n2cncn2)cc1,Kd,1700000.0,nM,2.77,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL1969042,Oc1ccc(Nc2[nH]nc(-c3ccc(O)cc3)c2-c2ccc(O)cc2)cc1,Kd,15000.0,nM,4.82,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3804990,Nc1cc(-c2ccc(O)cc2)n[nH]1,Kd,1300000.0,nM,2.89,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3806058,Nc1[nH]ncc1-c1ccc(O)cc1,Kd,1870000.0,nM,2.73,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3805438,Nc1[nH]nc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,Kd,40000.0,nM,4.4,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3805931,Oc1ccc(Nc2cc(-c3ccc(O)cc3)n[nH]2)cc1,Kd,10600.0,nM,4.97,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3804877,NC(=O)c1cc(Cl)ccc1N,Kd,3400000.0,nM,2.47,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3804838,Nc1cccc(Cn2cncn2)c1,Kd,1600000.0,nM,2.8,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL1399676,Cc1ccc2cc(N)ccc2n1,Kd,400000.0,nM,3.4,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3805371,Nc1[nH]nc(-c2cccc(O)c2)c1-c1ccc(O)cc1,Kd,60000.0,nM,4.22,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3805915,Nc1[nH]nc(-c2cccc(F)c2)c1-c1ccc(O)cc1,Kd,252000.0,nM,3.6,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3805955,Nc1[nH]nc(-c2ccc(O)cc2O)c1-c1ccc(O)cc1,Kd,181000.0,nM,3.74,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3806191,Nc1cccc(-c2cccc(-c3cn[nH]c3N)c2)c1,Kd,140000.0,nM,3.85,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3806191,Nc1cccc(-c2cccc(-c3cn[nH]c3N)c2)c1,Kd,140000.0,nM,3.85,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3804895,Nc1cccc(-c2cc(-c3cn[nH]c3N)ccc2OCc2ccccc2)c1,Kd,28000.0,nM,4.55,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3804839,COc1ccc(-c2cn[nH]c2N)cc1-c1cccc(N)c1,Kd,68000.0,nM,4.17,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3804971,COc1ccc(-c2n[nH]c(N)c2-c2cccc(-c3cccc(N)c3)c2)cc1,Kd,,,,ND(Insoluble),CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3804971,COc1ccc(-c2n[nH]c(N)c2-c2cccc(-c3cccc(N)c3)c2)cc1,Kd,,,,ND(Insoluble),CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
CHEMBL3806115,Nc1cccc(-c2cccc(-c3c(-c4ccc(O)cc4)n[nH]c3N)c2)c1,Kd,740.0,nM,6.13,,CHEMBL3806367,9,CHEMBL1681615,CHEMBL3804790,8tdp,P9WPP7
