molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4209820,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)[C@@H](C)CC,IC50,140.0,nM,6.85,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4209820,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)[C@@H](C)CC,IC50,140.0,nM,6.85,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4204942,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)CC,IC50,1040.0,nM,5.98,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4204942,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)CC,IC50,1040.0,nM,5.98,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4204545,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(N)=O,IC50,1020.0,nM,5.99,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4204545,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(N)=O,IC50,1020.0,nM,5.99,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4216206,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C)[C@@H](C)CC,IC50,1780.0,nM,5.75,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4216206,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C)[C@@H](C)CC,IC50,1780.0,nM,5.75,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4210431,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,1100.0,nM,5.96,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4210431,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,1100.0,nM,5.96,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4210431,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,1100.0,nM,5.96,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4205558,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,6400.0,nM,5.19,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4205558,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,6400.0,nM,5.19,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4214833,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1CC1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,4290.0,nM,5.37,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4214833,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1CC1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,4290.0,nM,5.37,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4209918,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1CCC1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,7230.0,nM,5.14,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4209918,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1CCC1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,7230.0,nM,5.14,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4218308,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,30520.0,nM,4.51,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4218308,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C,IC50,30520.0,nM,4.51,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4213382,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C)C1CCCC1,IC50,1490.0,nM,5.83,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4213382,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C)C1CCCC1,IC50,1490.0,nM,5.83,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
CHEMBL4206070,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)C)C1CCCCC1,IC50,3490.0,nM,5.46,,CHEMBL4202266,9,CHEMBL4295761,CHEMBL4196231,8tlw,P42568
