molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2414703,O=c1[nH]cnc2c(CNCCCP(=O)(O)O)c[nH]c12,IC50,4940.0,nM,5.31,,CHEMBL4826256,9,CHEMBL2360,CHEMBL4825670,8tpv,P00492
CHEMBL2414703,O=c1[nH]cnc2c(CNCCCP(=O)(O)O)c[nH]c12,IC50,4940.0,nM,5.31,,CHEMBL4826256,9,CHEMBL2360,CHEMBL4825670,8tpv,P00492
CHEMBL2414636,O=c1[nH]cnc2c(CN[C@H](CO)CCP(=O)(O)O)c[nH]c12,IC50,385.0,nM,6.42,,CHEMBL4826256,9,CHEMBL2360,CHEMBL4825670,8tpv,P00492
CHEMBL2414636,O=c1[nH]cnc2c(CN[C@H](CO)CCP(=O)(O)O)c[nH]c12,IC50,385.0,nM,6.42,,CHEMBL4826256,9,CHEMBL2360,CHEMBL4825670,8tpv,P00492
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,10000.0,nM,,,CHEMBL5701066,9,CHEMBL2360,CHEMBL5696440,8tpv,P00492
CHEMBL85685,c1ccc2c(c1)ccc1c3ccccc3ccc21,Ki,8980.0,nM,5.05,,CHEMBL697044,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
CHEMBL82858,O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,Ki,6700.0,nM,5.17,,CHEMBL697044,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
CHEMBL83185,N#CC(C#N)=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],Ki,2200.0,nM,5.66,,CHEMBL697044,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
CHEMBL83185,N#CC(C#N)=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],Ki,2200.0,nM,5.66,,CHEMBL697044,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
CHEMBL83185,N#CC(C#N)=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],Ki,5400.0,nM,5.27,,CHEMBL697046,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
CHEMBL83185,N#CC(C#N)=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],Ki,5400.0,nM,5.27,,CHEMBL697046,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
CHEMBL313154,Nc1cc2c3ccccc3ccc2c2ccccc12,Ki,600.0,nM,6.22,,CHEMBL697044,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
CHEMBL88057,O=C(Nc1cc2c3ccccc3ccc2c2ccccc12)C(Cl)Cl,Ki,500.0,nM,6.3,,CHEMBL697044,8,CHEMBL2360,CHEMBL1144870,8tpv,P00492
