molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4063356,CCOC(=O)c1c(-c2ccccc2)oc2ccc(O)c(CN3CCC(C)CC3)c12,IC50,260.0,nM,6.58,,CHEMBL4028447,9,CHEMBL4105939,CHEMBL4024797,8tqv,I6X8D2
CHEMBL4063356,CCOC(=O)c1c(-c2ccccc2)oc2ccc(O)c(CN3CCC(C)CC3)c12,IC50,260.0,nM,6.58,,CHEMBL4028447,9,CHEMBL4105939,CHEMBL4024797,8tqv,I6X8D2
CHEMBL4443524,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,IC50,0.19,ug.mL-1,,,CHEMBL4383981,9,CHEMBL4105939,CHEMBL4382229,8tqv,I6X8D2
CHEMBL4443524,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,IC50,0.19,ug.mL-1,,,CHEMBL4383981,9,CHEMBL4105939,CHEMBL4382229,8tqv,I6X8D2
CHEMBL4443524,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,IC50,0.19,ug.mL-1,,,CHEMBL4383981,9,CHEMBL4105939,CHEMBL4382229,8tqv,I6X8D2
CHEMBL4443524,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,IC50,0.19,ug.mL-1,,,CHEMBL4383981,9,CHEMBL4105939,CHEMBL4382229,8tqv,I6X8D2
CHEMBL4443524,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,IC50,0.19,ug.mL-1,,,CHEMBL4383981,9,CHEMBL4105939,CHEMBL4382229,8tqv,I6X8D2
CHEMBL3442631,CNC(=O)c1cc2c(nc1NC(C)C)CCNCC2,IC50,60252.77,nM,4.22,,CHEMBL4649965,8,CHEMBL4105939,CHEMBL3988442,8tqv,I6X8D2
CHEMBL3442631,CNC(=O)c1cc2c(nc1NC(C)C)CCNCC2,IC50,60252.77,nM,4.22,,CHEMBL4649965,8,CHEMBL4105939,CHEMBL3988442,8tqv,I6X8D2
CHEMBL3442631,CNC(=O)c1cc2c(nc1NC(C)C)CCNCC2,IC50,24975.53,nM,4.6,,CHEMBL4649965,8,CHEMBL4105939,CHEMBL3988442,8tqv,I6X8D2
CHEMBL3442631,CNC(=O)c1cc2c(nc1NC(C)C)CCNCC2,IC50,24975.53,nM,4.6,,CHEMBL4649965,8,CHEMBL4105939,CHEMBL3988442,8tqv,I6X8D2
CHEMBL3442632,CNC(=O)c1cc2c(nc1NCC1CC1)CCNCC2,IC50,71971.34,nM,4.14,,CHEMBL4649965,8,CHEMBL4105939,CHEMBL3988442,8tqv,I6X8D2
CHEMBL3442632,CNC(=O)c1cc2c(nc1NCC1CC1)CCNCC2,IC50,71971.34,nM,4.14,,CHEMBL4649965,8,CHEMBL4105939,CHEMBL3988442,8tqv,I6X8D2
CHEMBL3442632,CNC(=O)c1cc2c(nc1NCC1CC1)CCNCC2,IC50,24743.14,nM,4.61,,CHEMBL4649965,8,CHEMBL4105939,CHEMBL3988442,8tqv,I6X8D2
