molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL317917,CCCOc1c(-c2csc(-c3cc(C(=N)N)sc3SC)n2)cnn1-c1ccccn1,IC50,300.0,nM,6.52,,CHEMBL885071,8,CHEMBL3913,CHEMBL1149210,8typ,P09871
CHEMBL317917,CCCOc1c(-c2csc(-c3cc(C(=N)N)sc3SC)n2)cnn1-c1ccccn1,IC50,300.0,nM,6.52,,CHEMBL885071,8,CHEMBL3913,CHEMBL1149210,8typ,P09871
CHEMBL10378,O=c1oc(-c2ccccc2I)nc2ccccc12,IC50,1250.0,nM,5.9,,CHEMBL655973,8,CHEMBL3913,CHEMBL1128999,8typ,P09871
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,IC50,140.0,nM,6.85,,CHEMBL655973,8,CHEMBL3913,CHEMBL1128999,8typ,P09871
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,IC50,140.0,nM,6.85,,CHEMBL655973,8,CHEMBL3913,CHEMBL1128999,8typ,P09871
CHEMBL1458566,CCSc1ccccc1C(=O)n1nnc2ccccc21,IC50,50000.0,nM,,Not Active,CHEMBL1613966,9,CHEMBL3913,CHEMBL1201862,8typ,P09871
CHEMBL1527699,O=C(c1ccc2c(c1)OCO2)n1nnc2ccccc21,IC50,50000.0,nM,,Not Active,CHEMBL1613966,9,CHEMBL3913,CHEMBL1201862,8typ,P09871
CHEMBL1300684,Nc1nc(C(=O)N2CCOCC2)nn1C(=O)c1ccc(Cl)cc1,IC50,50000.0,nM,,Not Active,CHEMBL1613966,9,CHEMBL3913,CHEMBL1201862,8typ,P09871
CHEMBL1400273,Cc1nn(C(=O)c2ccccc2)c2c1C(=O)CC(C)(C)C2,IC50,50000.0,nM,,Not Active,CHEMBL1613966,9,CHEMBL3913,CHEMBL1201862,8typ,P09871
CHEMBL521762,COc1ccc(C(=O)n2nc(-c3ccco3)nc2SC)cc1OC,IC50,50000.0,nM,,Not Active,CHEMBL1613966,9,CHEMBL3913,CHEMBL1201862,8typ,P09871
CHEMBL1606874,CSc1nc(-c2ccco2)nn1C(=O)c1ccco1,IC50,50000.0,nM,,Not Active,CHEMBL1613966,9,CHEMBL3913,CHEMBL1201862,8typ,P09871
CHEMBL1342209,CCOC(=O)c1c(C)n(C(=O)c2ccco2)c(=O)n1C(=O)c1ccco1,IC50,50000.0,nM,,Not Active,CHEMBL1613966,9,CHEMBL3913,CHEMBL1201862,8typ,P09871
