molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3978318,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1,IC50,960.0,nM,6.02,337881,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3911255,Cc1ccc(CNC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)cc1,IC50,3050.0,nM,5.52,337882,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3983097,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1OC,IC50,840.0,nM,6.08,337883,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3949128,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1Cl,IC50,700.0,nM,6.16,337884,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3942669,CN(CC(=O)Nc1ccc(F)cc1)S(=O)(=O)c1cc(Br)cnc1N,IC50,4300.0,nM,5.37,337885,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3935059,CC(C)c1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1,IC50,840.0,nM,6.08,337886,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3920193,Cc1ccc(CNC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1,IC50,3310.0,nM,5.48,337887,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3947991,CC(C)n1cnc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3)CC2)c1,IC50,2770.0,nM,5.56,337888,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3932643,Cc1cccc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)c1,IC50,2610.0,nM,5.58,337889,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3956648,CC(C)c1ccc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)cc1,IC50,2870.0,nM,5.54,337890,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3939309,Cc1ccc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)cc1C,IC50,2450.0,nM,5.61,337891,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3968846,CCc1cccc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)c1,IC50,2550.0,nM,5.59,337892,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3968172,CCc1ccc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)cc1,IC50,2900.0,nM,5.54,337893,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3942109,CC(C)n1cnc(S(=O)(=O)N2CCC(C(=O)Nc3ccc(S(N)(=O)=O)cc3)CC2)c1,IC50,4120.0,nM,5.38,337894,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3957146,Cc1cc(C)cc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)c1,IC50,2670.0,nM,5.57,337895,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3929586,CSc1cccc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)c1,IC50,4810.0,nM,5.32,337896,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3964262,COc1cccc(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)c1,IC50,2460.0,nM,5.61,337897,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3971017,CC(C)n1cnc(S(=O)(=O)N2CCC(C(=O)Nc3cccc(F)c3)CC2)c1,IC50,3610.0,nM,5.44,337898,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
CHEMBL3943145,CC(C)n1cnc(S(=O)(=O)N2CCC(C(=O)Nc3cccc(Cl)c3)CC2)c1,IC50,3830.0,nM,5.42,337899,CHEMBL3887425,8,CHEMBL3988585,CHEMBL3886316,8u0q,P9WHH9
