molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL588025,Cl.Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,IC50,335.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL534408,CS(=O)(=O)Cc1ccc(Nc2ncc(Cl)c(Nc3cccnc3C(N)=O)n2)cc1.Cl,IC50,691.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL525275,COc1cccc(-n2ncc3c(N/N=C/c4ccc(CN(C)CCN(C)C)cc4)ncnc32)c1,IC50,58.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL533185,Cc1cc(Nc2nc(Nc3cccc(Cl)c3)nc3ccccc23)n[nH]1,IC50,151.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL582433,Cc1ccc(S(=O)(=O)Nc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2)cc1,IC50,823.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL593055,CCN(CC)CCCNc1nccc(N(C)c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)n1.O=C(O)C(F)(F)F,IC50,705.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL531306,CS(=O)(=O)Cc1ccc(Nc2nccc(N3CCCc4cc(NC(=O)Nc5cccc(C(F)(F)F)c5)ccc43)n2)cc1,IC50,385.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL586700,CN(c1ccc(NC(=O)Nc2cc(C(C)(C)C)on2)cc1)c1ccnc(NCCN2CCOCC2)n1.O=C(O)C(F)(F)F,IC50,375.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL587109,CC(=O)Nc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nn4ncccc34)n2)c1,IC50,144.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
CHEMBL547886,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(CCN3CCN(C)CC3)cc2)ncc1Cl.Cl,IC50,70.0,nM,,active,CHEMBL3562012,8,CHEMBL4105812,CHEMBL1201862,8u2o,Q8IDW1
