molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1236391,CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CCNCC3)ccc12,IC50,5000.0,nM,,,CHEMBL1273541,8,CHEMBL1275212,CHEMBL1269008,8ug1,P50053
CHEMBL1236391,CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CCNCC3)ccc12,IC50,5000.0,nM,,,CHEMBL1273541,8,CHEMBL1275212,CHEMBL1269008,8ug1,P50053
CHEMBL1236391,CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CCNCC3)ccc12,IC50,5000.0,nM,,,CHEMBL1273541,8,CHEMBL1275212,CHEMBL1269008,8ug1,P50053
CHEMBL1236391,CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CCNCC3)ccc12,IC50,5000.0,nM,,,CHEMBL1273541,8,CHEMBL1275212,CHEMBL1269008,8ug1,P50053
CHEMBL1236391,CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CCNCC3)ccc12,IC50,5000.0,nM,,,CHEMBL1273541,8,CHEMBL1275212,CHEMBL1269008,8ug1,P50053
CHEMBL1809150,CSc1nn(-c2ccccc2)c2cc(C3CCNCC3)ccc12,IC50,330.0,nM,6.48,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809151,CSc1nn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,IC50,560.0,nM,6.25,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809151,CSc1nn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,IC50,560.0,nM,6.25,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809151,CSc1nn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,IC50,560.0,nM,6.25,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809151,CSc1nn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,IC50,560.0,nM,6.25,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809152,CSc1nn(-c2ccccc2)c2cc(C3=CCNCC3)ccc12,IC50,80.0,nM,7.1,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809153,CSc1nn(-c2ccccc2)c2cc(-c3ccncc3)ccc12,IC50,10000.0,nM,,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809153,CSc1nn(-c2ccccc2)c2cc(-c3ccncc3)ccc12,IC50,10000.0,nM,,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809153,CSc1nn(-c2ccccc2)c2cc(-c3ccncc3)ccc12,IC50,10000.0,nM,,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809153,CSc1nn(-c2ccccc2)c2cc(-c3ccncc3)ccc12,IC50,10000.0,nM,,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809154,CSc1nn(-c2ccccc2)c2cc(N3CC4CC3CN4)ccc12,IC50,710.0,nM,6.15,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809154,CSc1nn(-c2ccccc2)c2cc(N3CC4CC3CN4)ccc12,IC50,710.0,nM,6.15,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809154,CSc1nn(-c2ccccc2)c2cc(N3CC4CC3CN4)ccc12,IC50,710.0,nM,6.15,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809154,CSc1nn(-c2ccccc2)c2cc(N3CC4CC3CN4)ccc12,IC50,710.0,nM,6.15,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809155,CSc1nn(-c2ccccc2)c2cc(OC3CCNCC3)ccc12,IC50,710.0,nM,6.15,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
CHEMBL1809155,CSc1nn(-c2ccccc2)c2cc(OC3CCNCC3)ccc12,IC50,710.0,nM,6.15,,CHEMBL1810789,8,CHEMBL1275212,CHEMBL1806448,8ug1,P50053
