molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3318285,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,IC50,100000.0,nM,,,CHEMBL3378203,9,CHEMBL2321646,CHEMBL3351294,8uwp,Q15047
CHEMBL3397332,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)NCc2cc(-c3ccccc3)[nH]n2)[C@@H](O)[C@H]1O,IC50,100000.0,nM,,,CHEMBL3399136,9,CHEMBL2321646,CHEMBL3396964,8uwp,Q15047
CHEMBL418052,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,2200.0,nM,5.66,,CHEMBL3399136,9,CHEMBL2321646,CHEMBL3396964,8uwp,Q15047
CHEMBL4591248,NC(=O)c1cccc(C#C[C@@H](CC[C@H](N)C(=O)O)C[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)c1,IC50,10000.0,nM,,,CHEMBL4416353,9,CHEMBL2321646,CHEMBL4414609,8uwp,Q15047
CHEMBL3087498,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,100000.0,nM,,,CHEMBL5214644,9,CHEMBL2321646,CHEMBL5212743,8uwp,Q15047
CHEMBL2441082,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1,IC50,10000.0,nM,,,CHEMBL5214622,9,CHEMBL2321646,CHEMBL5212743,8uwp,Q15047
CHEMBL5403027,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc(C(N)=O)cc5)c4)C3)c2)CC1,IC50,100000.0,nM,,,CHEMBL5373006,9,CHEMBL2321646,CHEMBL5370599,8uwp,Q15047
CHEMBL5439383,CN1CCN(c2ccnc(C(=O)N3CCC[C@H](C(=O)Nc4cccc(-c5ccc6c(c5)C(=O)NC6)c4)C3)c2)CC1,IC50,100000.0,nM,,,CHEMBL5373006,9,CHEMBL2321646,CHEMBL5370599,8uwp,Q15047
CHEMBL5572230,C=CCOc1cccc2nc(N3CCCC3)ccc12,IC50,65000.0,nM,4.19,,CHEMBL5536076,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,750000.0,nM,,,CHEMBL5536079,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,750000.0,nM,,,CHEMBL5536079,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,750000.0,nM,,,CHEMBL5536079,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,750000.0,nM,,,CHEMBL5536079,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,930000.0,nM,,,CHEMBL5536080,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,930000.0,nM,,,CHEMBL5536080,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,930000.0,nM,,,CHEMBL5536080,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL5569118,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,IC50,930000.0,nM,,,CHEMBL5536080,9,CHEMBL2321646,CHEMBL5532707,8uwp,Q15047
CHEMBL3414619,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C,IC50,100000.0,nM,,,CHEMBL5709095,9,CHEMBL2321646,CHEMBL5705896,8uwp,Q15047
CHEMBL4576037,CC(=O)NCc1ccccc1-n1c(C)nnc1C,Kd,3500000.0,nM,2.46,,CHEMBL4387485,9,CHEMBL2321646,CHEMBL4385651,8uwp,Q15047
