molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5572216,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,IC50,2.0,nM,8.7,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5573828,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)CP(=O)(O)O,IC50,2200.0,nM,5.66,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5564406,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)CCP(=O)([O-])O.[Na+],IC50,3.0,nM,8.52,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5567180,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)/C=C/P(=O)([O-])O.[Na+],IC50,150.0,nM,6.82,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5569978,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)C(O)C(O)P(=O)([O-])O.[Na+],IC50,2300.0,nM,5.64,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5568629,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)C(O)CP(=O)([O-])O.[Na+],IC50,250.0,nM,6.6,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5566238,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)CC(O)P(=O)([O-])O.[Na+],IC50,75.0,nM,7.12,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5570399,O=CN(O)C[C@@H](O)[C@H](O)[C@H](O)CCP(=O)(O)O,IC50,9200.0,nM,5.04,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5564701,O=CN(O)C[C@H](O)C[C@H](O)CCP(=O)(O)O,IC50,3000.0,nM,5.52,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5570129,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)CC(F)P(=O)([O-])O.[Na+],IC50,15.0,nM,7.82,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5575738,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)CC(F)(F)P(=O)([O-])O.[Na+],IC50,220.0,nM,6.66,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
CHEMBL5566000,O=C(NO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,IC50,16.0,nM,7.8,,CHEMBL5547885,8,CHEMBL6067458,CHEMBL5543143,8v4j,Q93UJ2
