molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL220940,Cc1cn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O,IC50,200000.0,nM,,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL483492,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1N,IC50,1000.0,nM,6.0,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL483492,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1N,IC50,1000.0,nM,6.0,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092834,O=c1ccn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,IC50,3000.0,nM,5.52,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092834,O=c1ccn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,IC50,3000.0,nM,5.52,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092835,Nc1ccn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,IC50,100000.0,nM,,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092835,Nc1ccn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,IC50,100000.0,nM,,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL483492,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1N,IC50,200000.0,nM,,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL483492,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1N,IC50,200000.0,nM,,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092833,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,IC50,200000.0,nM,,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092833,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,IC50,200000.0,nM,,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092833,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,IC50,2200.0,nM,5.66,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
CHEMBL2092833,Cc1cn([C@@H]2C[C@@H](F)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,IC50,2200.0,nM,5.66,,CHEMBL658099,8,CHEMBL2392,CHEMBL1131623,8vfi,P06746
