molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL467192,Cc1c(Br)cc(NCC(=O)N/N=C\c2cc([N+](=O)[O-])ccc2O)cc1Br,IC50,8000.0,nM,5.1,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL468589,Nc1cc(S)cc(O)c1/N=C/c1ccccc1,IC50,4000.0,nM,5.4,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL467372,O=c1[nH]ncc(N/N=C\c2ccc(O)c([N+](=O)[O-])c2)c1Cl,IC50,12000.0,nM,4.92,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL450866,CSc1ccc(C(=O)O)s1,IC50,10000.0,nM,5.0,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL510074,O=C(c1ccc(O)cc1)c1ccccc1O,IC50,25000.0,nM,4.6,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL468590,Cc1oc(C(=O)O)cc1CSCc1cc(C(=O)O)c(C)o1,IC50,600.0,nM,6.22,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL511249,COc1ccc(-c2cnc3c(O)nc(O)nc3n2)cc1,IC50,25000.0,nM,4.6,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL467373,NS(=O)(=O)c1ccc(CCNC(=O)CCS(=O)(=O)c2ccc(Br)cc2)cc1,IC50,8000.0,nM,5.1,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL444491,O=C(O)CSc1cc(Cl)c2nonc2c1[N+](=O)[O-],IC50,13000.0,nM,4.89,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL375078,O=C1Nc2c(C(=O)O)cccc2C1=O,IC50,4000.0,nM,5.4,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL375078,O=C1Nc2c(C(=O)O)cccc2C1=O,IC50,4000.0,nM,5.4,,CHEMBL979103,9,CHEMBL5694,CHEMBL1155879,8vzl,P18858
CHEMBL1233689,CCCCSc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,IC50,200000.0,nM,,,CHEMBL1810900,9,CHEMBL5694,CHEMBL1806435,8vzl,P18858
CHEMBL2030350,NC(=O)c1cnc(OC2CCCC2)nc1N,IC50,55000.0,nM,,,CHEMBL2034653,9,CHEMBL5694,CHEMBL2029313,8vzl,P18858
CHEMBL2030351,NC(=O)c1cnc(OC2CCCCC2)nc1N,IC50,55000.0,nM,,,CHEMBL2034653,9,CHEMBL5694,CHEMBL2029313,8vzl,P18858
