molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL849,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,IC50,53500.0,nM,4.27,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL849,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,IC50,53500.0,nM,4.27,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL559,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,IC50,7170.0,nM,5.14,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL559,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,IC50,7170.0,nM,5.14,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL394034,O=C(Nc1nnc[nH]1)c1c(Cl)ccc(Cl)c1Cl,IC50,1060.0,nM,5.97,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL394034,O=C(Nc1nnc[nH]1)c1c(Cl)ccc(Cl)c1Cl,IC50,1060.0,nM,5.97,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240165,Oc1ccccc1-c1nnc(S)o1,IC50,3100.0,nM,5.51,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240165,Oc1ccccc1-c1nnc(S)o1,IC50,3100.0,nM,5.51,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL241454,O=C(O)c1ccc(Oc2ccccc2)c(O)c1,IC50,3180.0,nM,5.5,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL241454,O=C(O)c1ccc(Oc2ccccc2)c(O)c1,IC50,3180.0,nM,5.5,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL241453,COc1cc(C=O)ccc1Oc1ccccc1,IC50,1310.0,nM,5.88,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL241453,COc1cc(C=O)ccc1Oc1ccccc1,IC50,1310.0,nM,5.88,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL241025,COc1cc(CCl)ccc1Oc1ccccc1,IC50,1940.0,nM,5.71,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL241025,COc1cc(CCl)ccc1Oc1ccccc1,IC50,1940.0,nM,5.71,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240808,O=C(O)c1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,IC50,2590.0,nM,5.59,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240808,O=C(O)c1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,IC50,2590.0,nM,5.59,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL438498,COc1cc(C(=O)O)ccc1Oc1ccc(Cl)cc1Cl,IC50,475.0,nM,6.32,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL438498,COc1cc(C(=O)O)ccc1Oc1ccc(Cl)cc1Cl,IC50,475.0,nM,6.32,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240807,COc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl,IC50,3160.0,nM,5.5,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240807,COc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl,IC50,3160.0,nM,5.5,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240806,OCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,IC50,1360.0,nM,5.87,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240806,OCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,IC50,1360.0,nM,5.87,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
CHEMBL240805,Oc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl,IC50,850.0,nM,6.07,,CHEMBL900187,8,CHEMBL3194,CHEMBL1138243,8w48,P02766
