molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL473929,CSC[C@H]1N[C@@H](c2c[nH]c3c(=O)[nH]cnc23)[C@H](O)[C@@H]1O,Ki,2.7,nM,8.57,,CHEMBL4377142,9,CHEMBL4523389,CHEMBL4376805,8w7h,Q8I3X4
CHEMBL269864,O=c1[nH]cnc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c12,Ki,0.5,nM,9.3,,CHEMBL4377147,9,CHEMBL4523389,CHEMBL4376805,8w7h,Q8I3X4
CHEMBL269864,O=c1[nH]cnc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c12,Ki,0.5,nM,9.3,,CHEMBL4377147,9,CHEMBL4523389,CHEMBL4376805,8w7h,Q8I3X4
CHEMBL475750,Nc1nc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c2c(=O)[nH]1,Ki,0.89,nM,9.05,,CHEMBL4377147,9,CHEMBL4523389,CHEMBL4376805,8w7h,Q8I3X4
CHEMBL475750,Nc1nc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c2c(=O)[nH]1,Ki,0.89,nM,9.05,,CHEMBL4377147,9,CHEMBL4523389,CHEMBL4376805,8w7h,Q8I3X4
CHEMBL218291,O=c1[nH]cnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,Ki,0.86,nM,9.07,,CHEMBL5551568,8,CHEMBL4523389,CHEMBL5550139,8w7h,Q8I3X4
CHEMBL473922,Nc1nc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c2c(=O)[nH]1,Ki,0.9,nM,9.05,,CHEMBL5551568,8,CHEMBL4523389,CHEMBL5550139,8w7h,Q8I3X4
CHEMBL269864,O=c1[nH]cnc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c12,Ki,0.5,nM,9.3,,CHEMBL5551568,8,CHEMBL4523389,CHEMBL5550139,8w7h,Q8I3X4
CHEMBL269864,O=c1[nH]cnc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c12,Ki,0.5,nM,9.3,,CHEMBL5551568,8,CHEMBL4523389,CHEMBL5550139,8w7h,Q8I3X4
CHEMBL475750,Nc1nc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c2c(=O)[nH]1,Ki,0.89,nM,9.05,,CHEMBL5551568,8,CHEMBL4523389,CHEMBL5550139,8w7h,Q8I3X4
CHEMBL475750,Nc1nc2c(CN3C[C@H](CO)[C@@H](O)C3)c[nH]c2c(=O)[nH]1,Ki,0.89,nM,9.05,,CHEMBL5551568,8,CHEMBL4523389,CHEMBL5550139,8w7h,Q8I3X4
