molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL505210,O=c1cc(Cc2ccccc2)[nH]c2c(-c3ccc(Cl)cc3)cnn12,IC50,3900.0,nM,5.41,,CHEMBL989743,9,CHEMBL4983,CHEMBL1144214,8wa9,P29401
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,5270.0,nM,5.28,,CHEMBL5701026,9,CHEMBL4983,CHEMBL5696440,8wa9,P29401
CHEMBL1547,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Kd,6800000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL403021,Cc1ncc(Cn2c(C)c(CCOP(=O)(O)OP(=O)(O)O)sc2=O)c(N)n1,Kd,16.0,nM,7.8,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL430409,Cc1ncc(C[n+]2csc(CCOP(C)(=O)OP(=O)(O)O)c2C)c(N)n1,Kd,170.0,nM,6.77,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL402764,Cc1ccc(Cn2c(C)c(CCO)sc2=O)c(N)n1,Kd,500000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL256803,Cc1ncc(Cn2c(C)c(CCO)sc2=O)c(N)n1,Kd,34000.0,nM,4.47,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL257285,Cc1c(Cc2cncnc2N)csc1CCO,Kd,100000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255138,CC(=O)Nc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,1100.0,nM,5.96,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255138,CC(=O)Nc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,1100.0,nM,5.96,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255345,Cc1c(Cc2cnc(N)nc2N)csc1CCO,Kd,2200.0,nM,5.66,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255548,Cc1c(Cc2cnc(-c3ccccc3)nc2N)csc1CCO,Kd,500000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255548,Cc1c(Cc2cnc(-c3ccccc3)nc2N)csc1CCO,Kd,500000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL256177,Cc1c(Cc2cnc(C3CC3)nc2N)csc1CCO,Kd,500000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL256177,Cc1c(Cc2cnc(C3CC3)nc2N)csc1CCO,Kd,500000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255550,Cc1c(Cc2cnc(C(C)C)nc2N)csc1CCO,Kd,500000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255550,Cc1c(Cc2cnc(C(C)C)nc2N)csc1CCO,Kd,500000.0,nM,,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL401772,Cc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,18000.0,nM,4.75,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL401772,Cc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,18000.0,nM,4.75,,CHEMBL947911,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL401772,Cc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,12.0,nM,7.92,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL401772,Cc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,12.0,nM,7.92,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255138,CC(=O)Nc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,3.0,nM,8.52,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255138,CC(=O)Nc1ncc(Cc2csc(CCO)c2C)c(N)n1,Kd,3.0,nM,8.52,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255548,Cc1c(Cc2cnc(-c3ccccc3)nc2N)csc1CCO,Kd,230.0,nM,6.64,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255548,Cc1c(Cc2cnc(-c3ccccc3)nc2N)csc1CCO,Kd,230.0,nM,6.64,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL401572,Cc1c(Cc2cnc(C(F)(F)F)nc2N)csc1CCO,Kd,63.0,nM,7.2,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL256177,Cc1c(Cc2cnc(C3CC3)nc2N)csc1CCO,Kd,60.0,nM,7.22,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL256177,Cc1c(Cc2cnc(C3CC3)nc2N)csc1CCO,Kd,60.0,nM,7.22,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255550,Cc1c(Cc2cnc(C(C)C)nc2N)csc1CCO,Kd,64.0,nM,7.19,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL255550,Cc1c(Cc2cnc(C(C)C)nc2N)csc1CCO,Kd,64.0,nM,7.19,,CHEMBL947914,8,CHEMBL4983,CHEMBL1143161,8wa9,P29401
CHEMBL252086,Cc1ccc(C[n+]2csc(CCO)c2C)c(N)n1.[Cl-],Kd,33.0,nM,7.48,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL256454,Cc1ccc(C[n+]2csc(CCO)c2)c(N)n1,Kd,29.0,nM,7.54,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL402329,Cc1ccc(C[n+]2c(C)sc(CCO)c2C)c(N)n1,Kd,25.0,nM,7.6,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL255339,Cc1ccc(C[n+]2c(C(C)O)sc(CCO)c2C)c(N)n1,Kd,120.0,nM,6.92,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL403212,CCc1sc(CCO)c(C)[n+]1Cc1ccc(C)nc1N,Kd,75.0,nM,7.12,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL270632,Cc1ccc(C[n+]2cc(CCO)sc2C)c(N)n1,Kd,36.0,nM,7.44,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL402566,Cc1ccc(C[n+]2csc(CCO)c2CO)c(N)n1,Kd,25.0,nM,7.6,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL255541,CCc1c(CCO)sc[n+]1Cc1ccc(C)nc1N,Kd,40.0,nM,7.4,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL255340,Cc1ccc(C[n+]2csc([C@@H](O)CO)c2C)c(N)n1,Kd,27.0,nM,7.57,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL258077,Cc1ccc(C[n+]2csc([C@H](O)CO)c2C)c(N)n1,Kd,28.0,nM,7.55,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL255542,Cc1ccc(C[n+]2csc(C(O)CO)c2C)c(N)n1,Kd,53.0,nM,7.28,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL402065,Cc1c(CCO)sc[n+]1Cc1ccc(C(=O)c2ccccc2C(=O)O)nc1,Kd,140.0,nM,6.85,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL403365,Cc1c(CCO)sc[n+]1Cc1cccnc1N,Kd,36.0,nM,7.44,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL255603,Cc1c(CCO)sc[n+]1Cc1ccc(N)nc1,Kd,7.0,nM,8.15,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL256267,Cc1cncc(C[n+]2csc(CCO)c2C)c1,Kd,220.0,nM,6.66,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL271521,Cc1c(CCO)sc[n+]1Cc1cnccc1N,Kd,64.0,nM,7.19,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL257929,Cc1c(CCO)sc[n+]1Cc1ccc(C(F)(F)F)nc1,Kd,310.0,nM,6.51,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL270613,Cc1c(CCO)sc[n+]1Cc1ccc(Cl)nc1N,Kd,46.0,nM,7.34,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL271044,Cc1cc(C)c(C[n+]2csc(CCO)c2C)c(N)n1,Kd,34.0,nM,7.47,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL256627,CCc1ccc(C[n+]2csc(CCO)c2C)c(N)n1,Kd,10.0,nM,8.0,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL429246,Cc1c(CCO)sc[n+]1Cc1ccc(C#N)nc1N,Kd,57.0,nM,7.24,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL270384,Cc1c(CCO)sc[n+]1Cc1cc(I)cnc1N,Kd,109.0,nM,6.96,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL270168,Cc1c(CCO)sc[n+]1Cc1ccc(C(F)(F)F)nc1N,Kd,104.0,nM,6.98,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL270385,Cc1c(CCO)sc[n+]1Cc1c(C(F)(F)F)cc(C(F)(F)F)nc1N,Kd,1460.0,nM,5.84,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL256831,CC(=O)Nc1ccc(C[n+]2csc(CCO)c2C)c(N)n1,Kd,23.0,nM,7.64,,CHEMBL934304,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
CHEMBL401817,Cc1ccc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,Kd,22.0,nM,7.66,,CHEMBL934303,8,CHEMBL4983,CHEMBL1143137,8wa9,P29401
