molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3103040,COc1ccc(-n2cnc3cc(C(=O)N4CCCCC4)ccc32)cc1,IC50,1358.0,nM,5.87,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3103035,O=C(c1ccc2c(c1)ncn2-c1cccc(C(F)(F)F)c1)N1CCCCC1,IC50,2415.0,nM,5.62,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3103033,O=C(c1ccc2c(c1)ncn2-c1cccc(Cl)c1)N1CCCCC1,IC50,1918.0,nM,5.72,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3103021,Cc1cccc(-n2cnc3cc(C(=O)N4CCCC(C)(C)C4)ccc32)c1,IC50,1918.0,nM,5.72,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3103001,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc(C#N)c1,IC50,6806.0,nM,5.17,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3103000,Cc1ccc(-n2c(C)cc(-c3nnc4n3CCCCC4)c2C)cc1,IC50,2415.0,nM,5.62,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3102998,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc(C(F)(F)F)c1,IC50,1524.0,nM,5.82,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3102995,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc(Cl)c1,IC50,4818.0,nM,5.32,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL3102994,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(Cl)c(Cl)c1,IC50,607.0,nM,6.22,,CHEMBL3107142,9,CHEMBL3577,CHEMBL3102731,8wfq,P00352
CHEMBL1378094,Cc1nc2ccccc2n1S(=O)(=O)c1ccc(F)cc1,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL1413180,COc1cc(F)ccc1S(=O)(=O)n1c(C)nc2ccccc21,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL1308268,COc1cc(S(=O)(=O)n2c(C)nc3ccccc32)ccc1F,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112689,COc1cc(S(=O)(=O)n2c(C)nc3ccccc32)ccc1Cl,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL1607749,COc1ccc(S(=O)(=O)n2c(C)nc3ccccc32)cc1C,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112687,O=S(=O)(c1ccc(F)c(F)c1)n1cnc2ccccc21,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112686,Cc1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1Br,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112685,COc1cc(F)ccc1S(=O)(=O)n1cnc2ccccc21,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL1561479,Cc1cc2ncn(S(=O)(=O)c3ccc(F)cc3)c2cc1C,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112684,COc1ccc(S(=O)(=O)n2cnc3cc([N+](=O)[O-])ccc32)cc1,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL1372362,O=S(=O)(c1ccc(Cl)cc1)n1c(Cc2ccccc2)nc2ccccc21,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112683,O=S(=O)(c1ccc(Cl)cc1)n1c(C2CCCCC2)nc2ccccc21,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL1492620,CC(=O)c1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112682,CC(=O)Nc1ccc(S(=O)(=O)n2c(C)nc3ccccc32)cc1,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL3112681,Cc1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
CHEMBL1411903,Cc1ccc(S(=O)(=O)n2c(C)nc3ccccc32)cc1,IC50,,,,Not Active,CHEMBL3118132,9,CHEMBL3577,CHEMBL3112389,8wfq,P00352
