molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1336269,COc1ccc(NC(=O)C#Cc2ccccc2)cc1,IC50,8010.0,nM,5.1,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1336269,COc1ccc(NC(=O)C#Cc2ccccc2)cc1,IC50,8010.0,nM,5.1,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL16312,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,IC50,31000.0,nM,4.51,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL16312,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,IC50,31000.0,nM,4.51,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1596681,Br.CCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,IC50,9020.0,nM,5.04,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1596681,Br.CCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,IC50,9020.0,nM,5.04,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1447078,CCCC1CCC(c2ccc(OCC)cc2)=CC1=O,IC50,53900.0,nM,4.27,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1447078,CCCC1CCC(c2ccc(OCC)cc2)=CC1=O,IC50,53900.0,nM,4.27,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1531200,Cc1nc2ccc(Nc3nc4cc(S(=O)(=O)N5CCOCC5)ccc4o3)cc2s1,IC50,100000.0,nM,,inactive,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1457403,CCN(CC)c1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1.[Cl-],IC50,4790.0,nM,5.32,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1457403,CCN(CC)c1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1.[Cl-],IC50,4790.0,nM,5.32,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1539913,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,IC50,35400.0,nM,4.45,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1539913,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,IC50,35400.0,nM,4.45,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1366588,Cl.O=C(CCS(=O)(=O)c1ccccc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,IC50,2070.0,nM,5.68,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
CHEMBL1366588,Cl.O=C(CCS(=O)(=O)c1ccccc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,IC50,2070.0,nM,5.68,Active,CHEMBL1737963,9,CHEMBL1741208,CHEMBL1201862,8wsm,Q96P20
