molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL61985,C[C@H](NC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](Cc1ccc(Cl)c(Cl)c1)c1ccc(-c2ccccc2)c(F)c1,IC50,0.52,nM,9.28,,CHEMBL809147,8,CHEMBL3338,CHEMBL1151575,8wtq,P37268
CHEMBL61985,C[C@H](NC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](Cc1ccc(Cl)c(Cl)c1)c1ccc(-c2ccccc2)c(F)c1,IC50,0.52,nM,9.28,,CHEMBL809147,8,CHEMBL3338,CHEMBL1151575,8wtq,P37268
CHEMBL356514,C[C@@H](CC(=O)O)CC(=O)N[C@@H](C)[C@@H](Cc1ccc(Cl)c(Cl)c1)c1ccc(-c2ccccc2)c(F)c1,IC50,3.9,nM,8.41,,CHEMBL809147,8,CHEMBL3338,CHEMBL1151575,8wtq,P37268
CHEMBL143820,C[C@@H](CC(=O)O)CC(=O)N[C@@H](C)[C@H](/C=C/c1ccc2ccccc2c1)Cc1ccc(Cl)c(Cl)c1,IC50,2.5,nM,8.6,,CHEMBL809147,8,CHEMBL3338,CHEMBL1151575,8wtq,P37268
CHEMBL68668,O=C(O)C1OC(CCCCCCc2ccccc2)OC(C(=O)O)C1(O)C(=O)O,IC50,8000.0,nM,5.1,,CHEMBL809144,8,CHEMBL3338,CHEMBL1127965,8wtq,P37268
CHEMBL67533,C=C(CCC1OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)O1)C(OC(C)=O)C(C)Cc1ccccc1,IC50,1200.0,nM,5.92,,CHEMBL809144,8,CHEMBL3338,CHEMBL1127965,8wtq,P37268
CHEMBL308420,C=C(CCC12CCC(C(=O)O)(O1)C(O)(C(=O)O)C(C(=O)O)O2)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,IC50,430.0,nM,6.37,,CHEMBL809144,8,CHEMBL3338,CHEMBL1127965,8wtq,P37268
CHEMBL307753,C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](O)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,IC50,,nM,,NT,CHEMBL809144,8,CHEMBL3338,CHEMBL1127965,8wtq,P37268
CHEMBL302601,C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)/C=C/[C@H](C)C[C@H](C)CC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,IC50,5.0,nM,8.3,,CHEMBL809144,8,CHEMBL3338,CHEMBL1127965,8wtq,P37268
CHEMBL280978,C=C(CC[C@]12O[C@H](C(=O)O)[C@@](O)(C(=O)O)[C@](C(=O)O)(O1)[C@H](OC(=O)/C=C/[C@@H](C)C[C@@H](C)CC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,IC50,5.0,nM,8.3,,CHEMBL809146,8,CHEMBL3338,CHEMBL1127149,8wtq,P37268
