molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2000194,,IC50,10000.0,nM,5.0,,CHEMBL2061290,9,CHEMBL2052032,CHEMBL2057171,8x3s,P60484
CHEMBL2057662,,IC50,8870.0,nM,5.05,,CHEMBL2061290,9,CHEMBL2052032,CHEMBL2057171,8x3s,P60484
CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,IC50,13300.0,nM,4.88,,CHEMBL4372450,9,CHEMBL2052032,CHEMBL4371044,8x3s,P60484
CHEMBL1086448,CC(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(N)=O)C(C)C,IC50,750.0,nM,6.12,,CHEMBL1118768,8,CHEMBL1075317,CHEMBL1155441,8x3s,P61964
CHEMBL1086448,CC(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(N)=O)C(C)C,IC50,750.0,nM,6.12,,CHEMBL1118768,8,CHEMBL1075317,CHEMBL1155441,8x3s,P61964
CHEMBL1086448,CC(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(N)=O)C(C)C,IC50,750.0,nM,6.12,,CHEMBL1118768,8,CHEMBL1075317,CHEMBL1155441,8x3s,P61964
CHEMBL1086449,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(N)=O)C(C)C,IC50,1040.0,nM,5.98,,CHEMBL1118768,8,CHEMBL1075317,CHEMBL1155441,8x3s,P61964
CHEMBL1086449,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(N)=O)C(C)C,IC50,1040.0,nM,5.98,,CHEMBL1118768,8,CHEMBL1075317,CHEMBL1155441,8x3s,P61964
CHEMBL1086450,CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(N)=O)C(C)C,IC50,20.0,nM,7.7,,CHEMBL1118768,8,CHEMBL1075317,CHEMBL1155441,8x3s,P61964
CHEMBL1086450,CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(N)=O)C(C)C,IC50,20.0,nM,7.7,,CHEMBL1118768,8,CHEMBL1075317,CHEMBL1155441,8x3s,P61964
