molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL136457,COC(=O)Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,IC50,340.0,nM,6.47,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL139249,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,IC50,160.0,nM,6.8,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL337157,CC(C)Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,IC50,890.0,nM,6.05,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL136688,Cn1c(=O)c(-c2ccccc2)cc2cnc(Nc3ccncc3)nc21,IC50,470.0,nM,6.33,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL136775,CCCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,IC50,630.0,nM,6.2,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL421928,Cn1c(=O)c(-c2ccsc2)cc2cnc(Nc3ccccc3)nc21,IC50,8100.0,nM,5.09,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL138994,CC(C)(C)OC(=O)Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,IC50,560.0,nM,6.25,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL136106,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4ccccc4)c(=O)n(CC)c3n2)cc1,IC50,31.0,nM,7.51,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL140242,CN(C)CCCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,IC50,50.0,nM,7.3,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL137388,Cn1c(=O)c(-c2ccsc2)cc2cnc(N)nc21,IC50,50000.0,nM,,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL337100,Cn1c(=O)c(-c2ccc(-c3ccccc3)cc2)cc2cnc(Nc3ccccc3)nc21,IC50,50000.0,nM,,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL136724,Cn1c(=O)c(-c2ccsc2)cc2cnc(Nc3ccncc3)nc21,IC50,1700.0,nM,5.77,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL336093,Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(Cc3ccncc3)c2n1,IC50,630.0,nM,6.2,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
CHEMBL343705,CNc1ncc2cc(-c3ccsc3)c(=O)n(C)c2n1,IC50,50000.0,nM,,,CHEMBL822801,8,CHEMBL3074,CHEMBL1131615,8xn8,P05480
