molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,20.0,nM,7.7,,CHEMBL1047554,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,20.0,nM,7.7,,CHEMBL1047554,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,20.0,nM,7.7,,CHEMBL1047554,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,20.0,nM,7.7,,CHEMBL1047554,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,20.0,nM,7.7,,CHEMBL1047554,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,58.0,nM,7.24,,CHEMBL1047555,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,58.0,nM,7.24,,CHEMBL1047555,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,58.0,nM,7.24,,CHEMBL1047555,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,58.0,nM,7.24,,CHEMBL1047555,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL576781,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN(C)C,IC50,58.0,nM,7.24,,CHEMBL1047555,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,700.0,nM,6.16,,CHEMBL1047550,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,700.0,nM,6.16,,CHEMBL1047550,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,700.0,nM,6.16,,CHEMBL1047550,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,700.0,nM,6.16,,CHEMBL1047550,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,700.0,nM,6.16,,CHEMBL1047550,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,IC50,700.0,nM,6.16,,CHEMBL1047550,8,CHEMBL6031,CHEMBL1154694,8xpt,Q9H9B1
