molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2299203,O=c1oc(-c2ccco2)cc2ccccc12,IC50,200000.0,nM,,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299202,O=c1oc(-c2ccc(Cl)cc2)cc2ccccc12,IC50,105100.0,nM,,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2140153,O=c1oc(-c2ccccc2)cc2ccccc12,IC50,200000.0,nM,,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL1454061,COc1ccc(-c2cc3ccccc3c(=O)o2)cc1,IC50,200000.0,nM,,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299201,Cc1ccc(-c2cc3ccccc3c(=O)o2)cc1,IC50,93800.0,nM,4.03,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299200,O=c1oc(-c2cccc3ccccc23)cc2ccccc12,IC50,34600.0,nM,4.46,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299199,CC(C)(C)c1cc2ccccc2c(=S)o1,IC50,21900.0,nM,4.66,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299198,CCCCc1cc2ccccc2c(=S)o1,IC50,17400.0,nM,4.76,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299197,S=c1oc(-c2ccoc2)cc2ccccc12,IC50,26500.0,nM,4.58,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299196,S=c1oc(-c2ccco2)cc2ccccc12,IC50,17800.0,nM,4.75,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299195,S=c1oc(-c2cccs2)cc2ccccc12,IC50,14300.0,nM,4.84,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299194,S=c1oc(-c2ccc(Cl)cc2)cc2ccccc12,IC50,26400.0,nM,4.58,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2295876,S=c1oc(-c2ccccc2)cc2ccccc12,IC50,13900.0,nM,4.86,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299193,COc1ccc(-c2cc3ccccc3c(=S)o2)cc1,IC50,8400.0,nM,5.08,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299192,Cc1ccc(-c2cc3ccccc3c(=S)o2)cc1,IC50,6200.0,nM,5.21,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
CHEMBL2299191,S=c1oc(C2CCCCC2)cc2ccccc12,IC50,5500.0,nM,5.26,,CHEMBL3073038,9,CHEMBL2295561,CHEMBL3045741,8y9x,P80025
