molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,1490.0,nM,5.83,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,1490.0,nM,5.83,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128414,O=C(O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,530.0,nM,6.28,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL129375,COC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,250.0,nM,6.6,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL443285,Cc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,800.0,nM,6.1,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL339095,COc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,3430.0,nM,5.46,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL434434,CN(C)CCNC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,1230.0,nM,5.91,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,270.0,nM,6.57,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,270.0,nM,6.57,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,220.0,nM,6.66,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,220.0,nM,6.66,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128516,Cc1ccccc1N1C(=O)NCc2nc(Sc3ccc(F)cc3Cl)ccc21,IC50,52.0,nM,7.28,,CHEMBL737063,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128239,Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,1340.0,nM,5.87,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128440,O=C1NCc2nc(Sc3ccc(Cl)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,190.0,nM,6.72,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,393.0,nM,6.41,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,393.0,nM,6.41,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL129174,Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,980.0,nM,6.01,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL129628,COC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,73.0,nM,7.14,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL129305,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cccc1C(F)(F)F,IC50,950.0,nM,6.02,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL129704,CCc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,200.0,nM,6.7,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,250.0,nM,6.6,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,250.0,nM,6.6,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL129720,NC(=O)Oc1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,220.0,nM,6.66,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL338612,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1Cl,IC50,530.0,nM,6.28,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128257,Nc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,2750.0,nM,5.56,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL335878,O=C1NCc2nc(NCc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,IC50,980.0,nM,6.01,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL128813,O=C1NCc2nc(Sc3ccc(F)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,57.0,nM,7.24,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL131194,O=C1NCc2nc(Sc3ccccc3Br)ccc2N1c1c(Cl)cccc1Cl,IC50,1480.0,nM,5.83,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,250.0,nM,6.6,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,250.0,nM,6.6,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL129775,CC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,210.0,nM,6.68,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL131176,O=C1NCc2nc(Sc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,IC50,2370.0,nM,5.62,,CHEMBL737062,8,CHEMBL3961,CHEMBL1136354,8ygw,Q15759
CHEMBL88486,C[S+]([O-])c1ccc(-c2cc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,IC50,8.1,nM,8.09,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL316275,CS(=O)(=O)c1ccc(-c2cc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,IC50,10.0,nM,8.0,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,78.0,nM,7.11,,CHEMBL737061,8,CHEMBL3961,CHEMBL1130598,8ygw,Q15759
CHEMBL22978,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,IC50,2408.0,nM,5.62,,CHEMBL842193,9,CHEMBL3961,CHEMBL1132910,8ygw,Q15759
