molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL257834,CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1,IC50,480.0,nM,6.32,,CHEMBL949032,8,CHEMBL5888,CHEMBL1143865,8yhw,Q99558
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,2300.0,nM,5.64,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL295316,CC1=CC(=O)c2c(O)cccc2C1=O,IC50,100000.0,nM,,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL1210769,O=C1Cc2ccccc2C(=O)N1,IC50,51000.0,nM,4.29,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL1210770,O=C1CC2CC(=O)NC(=O)C2C(=O)N1,IC50,90000.0,nM,4.05,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL1210771,O=C1Cc2ccccc2CN1,IC50,100000.0,nM,,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL1210772,O=C1NC(=O)c2ccccc2/C1=C\c1cccs1,IC50,100000.0,nM,,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL1210773,CCO/C=C1/C(=O)NC(=O)c2ccccc21,IC50,50000.0,nM,,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL1210774,O=c1[nH]c(=O)c2c(Cl)cc(Cl)cc2[nH]1,IC50,100000.0,nM,,,CHEMBL1212349,9,CHEMBL5888,CHEMBL1208710,8yhw,Q99558
CHEMBL2334590,Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1,IC50,16000.0,nM,4.8,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334590,Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1,IC50,16000.0,nM,4.8,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,20.0,nM,7.7,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,20.0,nM,7.7,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,20.0,nM,7.7,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,20.0,nM,7.7,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334586,CC(C)(O)C#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3,IC50,170.0,nM,6.77,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334586,CC(C)(O)C#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3,IC50,170.0,nM,6.77,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334586,CC(C)(O)C#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3,IC50,170.0,nM,6.77,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334583,Nc1ncc2c(n1)-c1c([nH]c3ccc(Br)cc13)CCC2,IC50,4600.0,nM,5.34,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334583,Nc1ncc2c(n1)-c1c([nH]c3ccc(Br)cc13)CCC2,IC50,4600.0,nM,5.34,,CHEMBL2346383,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,40.0,nM,7.4,,CHEMBL2346384,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,40.0,nM,7.4,,CHEMBL2346384,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,40.0,nM,7.4,,CHEMBL2346384,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334589,COCCOc1cnc(N)nc1-c1c[nH]c2ccc(C#CC(C)(C)O)cc12,IC50,40.0,nM,7.4,,CHEMBL2346384,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334588,CC(O)c1ccc(-c2ccc3[nH]c4c(c3c2)-c2nc(N)ncc2CCC4)s1,IC50,15000.0,nM,4.82,,CHEMBL2346384,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
CHEMBL2334587,CC(O)c1ccc(-c2ccc3[nH]c4c(c3c2)-c2nc(N)ncc2CCC4)cc1,IC50,24000.0,nM,4.62,,CHEMBL2346384,9,CHEMBL5888,CHEMBL2331239,8yhw,Q99558
