uniprot_id,system_id,ligand_smiles,ligand_inchikey,affinity_file
P27707,4q1f__1__1.A__1.D,COc1ccc(-c2nc([C@@H](C)Sc3nc(N)cc(N)n3)c(C)s2)cc1OCCNS(C)(=O)=O,MBPWFMBRNJJXFY-GFCCVEGCSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q1f__1__1.B__1.F,COc1ccc(-c2nc([C@@H](C)Sc3nc(N)cc(N)n3)c(C)s2)cc1OCCNS(C)(=O)=O,MBPWFMBRNJJXFY-GFCCVEGCSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q1b__1__1.A__1.C,CCCc1sc(-c2cccc(OCCNS(C)(=O)=O)c2)nc1CSc1nc(N)cc(N)n1,ULNBDBXWVRBZMV-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q1b__1__1.B__1.E,CCCc1sc(-c2cccc(OCCNS(C)(=O)=O)c2)nc1CSc1nc(N)cc(N)n1,ULNBDBXWVRBZMV-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q1a__1__1.A__1.C,CCCc1sc(-c2ccc(OC)c(OCCO)c2)nc1CSc1nc(N)cc(N)n1,IFMIBDOPTYIDDA-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q1a__1__1.B__1.E,CCCc1sc(-c2ccc(OC)c(OCCO)c2)nc1CSc1nc(N)cc(N)n1,IFMIBDOPTYIDDA-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q1c__1__1.A__1.C,CCCc1sc(-c2ccc(OCCO)c(OCCO)c2)nc1CSc1nc(N)cc(N)n1,SVAHOUYXRPNIPY-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q1c__1__1.B__1.E,CCCc1sc(-c2ccc(OCCO)c(OCCO)c2)nc1CSc1nc(N)cc(N)n1,SVAHOUYXRPNIPY-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q19__1__1.A__1.C,CCCc1sc(-c2ccc(OC)c(O)c2)nc1CSc1nc(N)cc(N)n1,UFTDEMPMKXDHOK-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q19__1__1.B__1.E,CCCc1sc(-c2ccc(OC)c(O)c2)nc1CSc1nc(N)cc(N)n1,UFTDEMPMKXDHOK-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
